EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,2,5,1,1,4,5,3,4,10,kogudus; ameerika; kirik; tempel; ori; laulma; jumalateenistus
2,2,5,1,1,4,5,3,5,10,kogudus; ameerika; kirik; tempel; ori; laulma; jumalateenistus
2,2,5,1,1,4,5,3,5,10,kogudus; ameerika; kirik; tempel; ori; laulma; jumalateenistus
2,2,5,1,1,4,5,3,5,10,kogudus; ameerika; kirik; tempel; ori; laulma; jumalateenistus
2,2,5,1,1,4,5,3,5,10,kogudus; ameerika; kirik; tempel; ori; laulma; jumalateenistus
2,2,5,1,1,4,5,3,5,10,kogudus; ameerika; kirik; tempel; ori; laulma; jumalateenistus
2,2,5,1,1,4,5,3,5,10,kogudus; ameerika; kirik; tempel; ori; laulma; jumalateenistus
2,2,5,1,1,4,5,3,5,10,kogudus; ameerika; kirik; tempel; ori; laulma; jumalateenistus
2,2,5,1,1,4,5,3,5,10,kogudus; ameerika; kirik; tempel; ori; laulma; jumalateenistus
2,2,5,1,1,4,5,3,5,10,kogudus; ameerika; kirik; tempel; ori; laulma; jumalateenistus
2,2,5,1,1,4,5,3,5,10,kogudus; ameerika; kirik; tempel; ori; laulma; jumalateenistus
