EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,5,5,3,1,5,5,5,5,10,kogudus; muna; misjonitöö; nelipühad; kiikumine; suvistepühad; peko
5,5,5,3,2,5,5,5,5,10,kogudus; muna; misjonitöö; nelipühad; kiikumine; suvistepühad; peko
5,5,5,3,2,5,5,5,5,10,kogudus; muna; misjonitöö; nelipühad; kiikumine; suvistepühad; peko
5,6,6,3,2,5,5,5,5,10,kogudus; muna; misjonitöö; nelipühad; kiikumine; suvistepühad; peko
7,6,6,3,2,5,5,5,5,10,kogudus; muna; misjonitöö; nelipühad; kiikumine; suvistepühad; peko
6,6,7,2,2,5,3,7,5,10,kogudus; muna; misjonitöö; nelipühad; kiikumine; suvistepühad; peko
4,5,6,6,2,4,3,5,5,10,kogudus; muna; misjonitöö; nelipühad; kiikumine; suvistepühad; peko
4,5,6,7,3,2,4,4,5,10,kogudus; muna; misjonitöö; nelipühad; kiikumine; suvistepühad; peko
5,4,7,7,2,3,3,4,6,10,kogudus; muna; misjonitöö; nelipühad; kiikumine; suvistepühad; peko
5,5,7,6,3,2,3,5,6,10,kogudus; muna; misjonitöö; nelipühad; kiikumine; suvistepühad; peko
5,4,6,5,4,1,2,5,5,10,kogudus; muna; misjonitöö; nelipühad; kiikumine; suvistepühad; peko
