EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,10,5,10,10,9,9,10,9,14,kõrvalised; suhkrusaiapidu; tomusk; soolariiul; ilmar; uus; maja; isikud; tuba; martin
10,10,7,10,10,9,9,10,9,14,kõrvalised; suhkrusaiapidu; tomusk; soolariiul; ilmar; uus; maja; isikud; tuba; martin
10,10,9,10,10,9,9,10,10,14,kõrvalised; suhkrusaiapidu; tomusk; soolariiul; ilmar; uus; maja; isikud; tuba; martin
10,10,9,10,10,9,9,10,10,14,kõrvalised; suhkrusaiapidu; tomusk; soolariiul; ilmar; uus; maja; isikud; tuba; martin
10,10,10,10,10,10,9,10,10,14,kõrvalised; suhkrusaiapidu; tomusk; soolariiul; ilmar; uus; maja; isikud; tuba; martin
10,10,10,10,10,10,9,10,10,14,kõrvalised; suhkrusaiapidu; tomusk; soolariiul; ilmar; uus; maja; isikud; tuba; martin
10,10,10,10,10,10,9,10,10,14,kõrvalised; suhkrusaiapidu; tomusk; soolariiul; ilmar; uus; maja; isikud; tuba; martin
10,10,10,10,10,10,10,10,10,14,kõrvalised; suhkrusaiapidu; tomusk; soolariiul; ilmar; uus; maja; isikud; tuba; martin
10,10,10,10,10,10,9,10,10,14,kõrvalised; suhkrusaiapidu; tomusk; soolariiul; ilmar; uus; maja; isikud; tuba; martin
10,10,10,10,10,10,9,10,10,14,kõrvalised; suhkrusaiapidu; tomusk; soolariiul; ilmar; uus; maja; isikud; tuba; martin
10,10,10,10,10,10,10,10,10,14,kõrvalised; suhkrusaiapidu; tomusk; soolariiul; ilmar; uus; maja; isikud; tuba; martin
