EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,4,4,2,1,4,2,4,4,11,estonia; teater; näitleja; kuuskemaa; perekond
3,4,4,2,1,4,3,4,4,11,estonia; teater; näitleja; kuuskemaa; perekond
4,4,4,4,1,2,3,4,4,11,estonia; teater; näitleja; kuuskemaa; perekond
5,4,4,4,1,2,2,4,4,11,estonia; teater; näitleja; kuuskemaa; perekond
5,4,4,4,1,2,2,4,4,11,estonia; teater; näitleja; kuuskemaa; perekond
5,3,5,4,1,3,3,4,4,11,estonia; teater; näitleja; kuuskemaa; perekond
4,2,4,2,1,4,3,4,4,11,estonia; teater; näitleja; kuuskemaa; perekond
3,1,4,3,2,3,2,5,3,11,estonia; teater; näitleja; kuuskemaa; perekond
2,2,4,3,3,4,2,4,3,11,estonia; teater; näitleja; kuuskemaa; perekond
2,2,3,3,5,3,2,3,3,11,estonia; teater; näitleja; kuuskemaa; perekond
2,2,4,3,5,3,3,4,4,11,estonia; teater; näitleja; kuuskemaa; perekond
