EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,7,7,7,4,6,6,6,6,12,rahulolu; euroopa; gazprom; enn; kultuurisõber; kunila; klaasikunstnik; kreeka; baltika; liit
7,7,7,7,4,6,6,7,6,12,rahulolu; euroopa; gazprom; enn; kultuurisõber; kunila; klaasikunstnik; kreeka; baltika; liit
7,7,7,8,4,7,7,8,6,12,rahulolu; euroopa; gazprom; enn; kultuurisõber; kunila; klaasikunstnik; kreeka; baltika; liit
7,7,7,8,4,8,7,8,6,12,rahulolu; euroopa; gazprom; enn; kultuurisõber; kunila; klaasikunstnik; kreeka; baltika; liit
7,8,9,9,3,7,8,7,6,12,klaasikunstnik; euroopa; kreeka; baltika; liit; rahulolu; gazprom; enn; kultuurisõber; kunila
9,7,8,8,3,6,8,8,6,12,rahulolu; euroopa; gazprom; enn; kultuurisõber; kunila; klaasikunstnik; kreeka; baltika; liit
5,8,7,7,4,8,7,8,5,12,rahulolu; euroopa; gazprom; enn; kultuurisõber; kunila; klaasikunstnik; kreeka; baltika; liit
8,6,7,7,5,8,8,8,4,12,rahulolu; gazprom; enn; kultuurisõber; kunila; klaasikunstnik; kreeka; euroopa; baltika; liit
8,7,7,7,6,8,8,9,6,12,klaasikunstnik; kreeka; euroopa; baltika; liit; rahulolu; gazprom; enn; kultuurisõber; kunila
9,7,7,6,7,7,7,4,5,12,rahulolu; euroopa; gazprom; enn; kultuurisõber; kunila; klaasikunstnik; kreeka; baltika; liit
9,7,6,7,7,5,8,4,8,12,rahulolu; gazprom; enn; kultuurisõber; kunila; klaasikunstnik; kreeka; euroopa; baltika; liit
