EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,4,2,2,3,2,2,3,1,13,elizabeth; esselink; süntesaator; solex
4,4,2,2,3,2,2,3,1,13,elizabeth; süntesaator; esselink; solex
4,4,2,2,3,2,2,3,1,13,elizabeth; süntesaator; esselink; solex
4,4,2,3,3,3,2,4,1,13,elizabeth; süntesaator; esselink; solex
4,3,2,4,4,3,2,4,2,13,elizabeth; esselink; süntesaator; solex
4,3,4,4,4,3,3,4,3,13,elizabeth; esselink; süntesaator; solex
3,3,4,4,4,4,3,4,3,13,elizabeth; esselink; süntesaator; solex
1,3,4,4,3,3,4,3,3,13,elizabeth; esselink; süntesaator; solex
0,2,4,4,3,4,4,3,3,13,elizabeth; esselink; süntesaator; solex
0,2,4,4,3,2,4,2,4,13,elizabeth; esselink; süntesaator; solex
0,3,4,4,3,3,4,2,3,13,elizabeth; esselink; süntesaator; solex
