EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,9,4,8,6,9,9,6,6,13,reimann; prelüüd; puhkpillikvintett; matti; eesti; harri; sümfooniaorkester; klaverikontsert; tants; fuuga
10,10,6,8,6,9,10,7,6,13,reimann; prelüüd; puhkpillikvintett; matti; eesti; harri; sümfooniaorkester; klaverikontsert; tants; fuuga
10,10,6,8,6,8,10,7,6,13,reimann; prelüüd; puhkpillikvintett; matti; eesti; harri; sümfooniaorkester; klaverikontsert; tants; fuuga
10,10,6,8,6,8,10,7,6,13,reimann; prelüüd; puhkpillikvintett; matti; eesti; harri; sümfooniaorkester; klaverikontsert; tants; fuuga
9,10,7,8,6,8,8,7,6,13,reimann; prelüüd; puhkpillikvintett; matti; eesti; harri; sümfooniaorkester; klaverikontsert; tants; fuuga
10,7,8,8,7,10,8,8,6,13,reimann; prelüüd; puhkpillikvintett; matti; eesti; harri; sümfooniaorkester; klaverikontsert; tants; fuuga
10,8,9,10,8,8,8,6,6,13,reimann; prelüüd; puhkpillikvintett; matti; eesti; harri; sümfooniaorkester; klaverikontsert; tants; fuuga
6,7,10,9,7,10,8,7,6,13,reimann; prelüüd; puhkpillikvintett; matti; eesti; harri; sümfooniaorkester; klaverikontsert; tants; fuuga
7,5,10,9,9,8,8,7,6,13,reimann; prelüüd; puhkpillikvintett; matti; eesti; harri; sümfooniaorkester; klaverikontsert; tants; fuuga
7,4,9,9,8,7,8,9,7,13,reimann; prelüüd; puhkpillikvintett; matti; eesti; harri; sümfooniaorkester; klaverikontsert; tants; fuuga
7,4,10,9,10,8,7,9,9,13,reimann; prelüüd; puhkpillikvintett; matti; eesti; harri; sümfooniaorkester; klaverikontsert; tants; fuuga
