EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,7,8,7,7,6,7,9,5,11,stuudio; queen; šokolaad; raadio; lugu; ansambel; agent; plaat; album
9,7,8,7,7,7,7,9,5,11,stuudio; queen; šokolaad; raadio; lugu; ansambel; agent; plaat; album
9,7,8,7,7,7,7,9,5,11,stuudio; queen; šokolaad; raadio; lugu; ansambel; agent; plaat; album
9,7,8,7,7,8,7,9,5,11,stuudio; queen; šokolaad; raadio; lugu; ansambel; agent; plaat; album
9,7,9,7,7,8,7,9,5,11,stuudio; queen; šokolaad; raadio; lugu; ansambel; agent; plaat; album
9,6,9,6,7,8,7,9,6,11,stuudio; queen; šokolaad; raadio; lugu; ansambel; agent; plaat; album
7,6,8,9,7,9,8,9,6,11,stuudio; šokolaad; raadio; lugu; album; ansambel; agent; plaat; queen
6,6,8,8,8,8,8,9,6,11,stuudio; šokolaad; raadio; lugu; album; ansambel; agent; plaat; queen
6,6,8,8,8,9,6,7,6,11,stuudio; šokolaad; raadio; lugu; album; ansambel; agent; plaat; queen
6,7,7,8,7,9,8,9,6,11,stuudio; šokolaad; raadio; lugu; album; ansambel; agent; plaat; queen
6,6,8,8,7,8,7,9,7,11,stuudio; šokolaad; raadio; lugu; album; ansambel; agent; plaat; queen
