EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,10,9,7,10,6,6,8,9,12,võistlus; lauskmaa; naisekandmine; birgit; ulrich; strateegia; uusorg; margo; veetakistus; distants
10,10,9,7,10,6,6,8,9,12,võistlus; lauskmaa; naisekandmine; birgit; ulrich; strateegia; uusorg; margo; veetakistus; distants
10,10,10,7,10,7,6,9,9,12,võistlus; lauskmaa; naisekandmine; birgit; ulrich; strateegia; uusorg; margo; veetakistus; distants
10,10,10,8,10,7,6,9,9,12,võistlus; lauskmaa; naisekandmine; birgit; ulrich; strateegia; uusorg; margo; veetakistus; distants
10,10,10,7,9,9,8,9,9,12,võistlus; lauskmaa; naisekandmine; birgit; ulrich; strateegia; uusorg; margo; veetakistus; distants
10,10,10,8,9,9,8,9,9,12,võistlus; lauskmaa; naisekandmine; birgit; ulrich; strateegia; uusorg; margo; veetakistus; distants
9,10,10,9,9,10,8,9,9,12,võistlus; lauskmaa; naisekandmine; birgit; ulrich; strateegia; uusorg; margo; veetakistus; distants
9,10,10,9,8,10,9,10,9,12,võistlus; lauskmaa; naisekandmine; birgit; ulrich; strateegia; uusorg; margo; veetakistus; distants
8,10,10,10,9,9,10,10,9,12,võistlus; naisekandmine; birgit; ulrich; strateegia; uusorg; distants; margo; veetakistus; lauskmaa
8,10,10,10,9,10,9,10,10,12,võistlus; lauskmaa; naisekandmine; birgit; ulrich; strateegia; uusorg; margo; veetakistus; distants
7,9,10,10,10,10,10,9,10,12,võistlus; naisekandmine; birgit; ulrich; strateegia; uusorg; distants; margo; veetakistus; lauskmaa
