EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,10,8,6,6,7,8,7,8,16,peela; rahvusvaheline; publik; tõnu; tormis; kontsert; veljo; dirigent; ungari; serenaad; kammerkoor; kaljuste
11,10,8,6,7,6,8,8,7,16,peela; rahvusvaheline; publik; tõnu; tormis; kontsert; veljo; dirigent; ungari; serenaad; kammerkoor; kaljuste
11,9,9,7,6,6,8,9,8,16,peela; rahvusvaheline; publik; tõnu; tormis; kontsert; veljo; dirigent; ungari; serenaad; kammerkoor; kaljuste
11,9,7,9,6,6,8,9,8,16,peela; rahvusvaheline; publik; tõnu; tormis; kontsert; veljo; dirigent; ungari; serenaad; kammerkoor; kaljuste
11,7,8,10,6,7,10,8,8,16,peela; rahvusvaheline; publik; tõnu; tormis; kontsert; veljo; dirigent; ungari; serenaad; kammerkoor; kaljuste
11,8,8,11,6,6,10,9,8,16,peela; rahvusvaheline; publik; tõnu; tormis; kontsert; veljo; dirigent; ungari; serenaad; kammerkoor; kaljuste
9,8,10,10,6,7,11,9,7,16,peela; rahvusvaheline; publik; tõnu; tormis; kontsert; veljo; dirigent; ungari; serenaad; kammerkoor; kaljuste
9,8,9,10,8,10,10,8,8,16,peela; rahvusvaheline; publik; tõnu; tormis; kontsert; veljo; dirigent; ungari; serenaad; kammerkoor; kaljuste
8,8,9,10,8,9,11,8,8,16,peela; rahvusvaheline; publik; tõnu; tormis; kontsert; veljo; dirigent; ungari; serenaad; kammerkoor; kaljuste
8,7,10,9,8,10,9,8,9,16,peela; rahvusvaheline; publik; tõnu; tormis; kontsert; veljo; dirigent; ungari; serenaad; kammerkoor; kaljuste
8,6,9,9,10,9,9,7,9,16,peela; rahvusvaheline; publik; tõnu; tormis; kontsert; veljo; dirigent; ungari; serenaad; kammerkoor; kaljuste
