EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
12,9,5,7,5,9,7,8,9,16,vende; keränen; kirjutamine; raamatute; johannes; keel; õppimine; sõnaloome; keele; eesti; soome; mika; aavik; kullo; võõrsõna
12,9,5,7,5,8,7,8,11,16,vende; keränen; kirjutamine; raamatute; johannes; keel; õppimine; sõnaloome; keele; eesti; soome; mika; aavik; kullo; võõrsõna
12,10,5,7,4,7,7,7,11,16,vende; keränen; kirjutamine; raamatute; johannes; keel; õppimine; sõnaloome; keele; eesti; soome; mika; aavik; kullo; võõrsõna
12,10,8,7,6,7,7,7,11,16,vende; keränen; kirjutamine; raamatute; johannes; keel; õppimine; sõnaloome; keele; eesti; soome; mika; aavik; kullo; võõrsõna
11,11,13,7,6,9,6,11,11,16,vende; keränen; raamatute; kirjutamine; johannes; keel; õppimine; sõnaloome; keele; eesti; soome; mika; aavik; kullo; võõrsõna
9,10,10,10,6,6,9,11,11,16,vende; kirjutamine; raamatute; keränen; johannes; keel; õppimine; sõnaloome; keele; eesti; soome; mika; aavik; kullo; võõrsõna
9,6,12,10,10,10,12,13,9,16,vende; kirjutamine; raamatute; keränen; johannes; keel; õppimine; sõnaloome; keele; eesti; soome; mika; aavik; kullo; võõrsõna
9,10,10,10,11,7,11,14,9,16,vende; kirjutamine; raamatute; keränen; johannes; keel; õppimine; sõnaloome; keele; eesti; soome; mika; aavik; kullo; võõrsõna
8,7,10,10,12,9,9,12,9,16,vende; kirjutamine; raamatute; keränen; johannes; keel; õppimine; sõnaloome; keele; eesti; soome; mika; aavik; kullo; võõrsõna
9,9,8,12,12,5,12,8,10,16,vende; kirjutamine; raamatute; keränen; johannes; keel; õppimine; sõnaloome; keele; eesti; soome; mika; aavik; kullo; võõrsõna
10,5,9,12,12,6,10,9,11,16,vende; kirjutamine; raamatute; keränen; johannes; keel; õppimine; sõnaloome; keele; eesti; soome; mika; aavik; kullo; võõrsõna
