EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,8,3,4,1,3,3,7,3,15,rahvamuusika; mandingo; mansour; popmuusika; lääne-aafrika; sekk; maal; paavo
8,8,4,4,1,3,3,7,3,15,rahvamuusika; mandingo; mansour; popmuusika; lääne-aafrika; sekk; maal; paavo
7,8,4,4,2,3,4,7,4,15,rahvamuusika; mandingo; mansour; popmuusika; lääne-aafrika; sekk; maal; paavo
7,8,4,4,2,4,4,8,7,15,rahvamuusika; mandingo; mansour; popmuusika; lääne-aafrika; sekk; maal; paavo
6,8,8,4,3,6,6,8,7,15,rahvamuusika; mandingo; mansour; popmuusika; lääne-aafrika; sekk; maal; paavo
5,6,7,4,3,5,7,8,7,15,rahvamuusika; mandingo; mansour; popmuusika; lääne-aafrika; sekk; maal; paavo
2,6,7,5,4,8,5,7,7,15,rahvamuusika; mandingo; mansour; popmuusika; lääne-aafrika; sekk; maal; paavo
3,4,6,5,4,6,6,8,7,15,rahvamuusika; mandingo; mansour; popmuusika; lääne-aafrika; sekk; maal; paavo
4,6,6,5,5,7,7,6,7,15,rahvamuusika; mandingo; mansour; popmuusika; lääne-aafrika; sekk; maal; paavo
3,3,6,5,7,8,6,5,7,15,rahvamuusika; mandingo; mansour; popmuusika; lääne-aafrika; sekk; maal; paavo
3,3,5,5,7,7,5,6,7,15,rahvamuusika; mandingo; mansour; popmuusika; lääne-aafrika; sekk; maal; paavo
