EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,6,7,6,6,5,5,5,6,12,nato; väin; kaitseliit; muhu; tehnika; sõda; lahing
7,6,7,6,6,5,5,5,6,12,nato; väin; kaitseliit; muhu; tehnika; sõda; lahing
7,6,7,6,6,5,5,5,6,12,nato; väin; kaitseliit; muhu; tehnika; sõda; lahing
7,6,7,6,6,5,5,6,6,12,nato; väin; kaitseliit; muhu; tehnika; sõda; lahing
7,6,7,6,6,5,6,7,6,12,nato; väin; kaitseliit; muhu; tehnika; sõda; lahing
7,6,7,6,6,5,6,7,7,12,nato; väin; kaitseliit; muhu; tehnika; sõda; lahing
6,6,7,6,6,5,6,7,6,12,nato; väin; kaitseliit; muhu; tehnika; sõda; lahing
7,6,7,7,6,7,6,7,6,12,nato; väin; kaitseliit; muhu; tehnika; sõda; lahing
5,6,7,7,7,7,6,7,7,12,nato; väin; kaitseliit; muhu; tehnika; sõda; lahing
5,6,7,7,7,7,7,7,7,12,nato; väin; kaitseliit; muhu; tehnika; sõda; lahing
5,6,7,7,7,7,6,7,7,12,nato; väin; kaitseliit; muhu; tehnika; sõda; lahing
