EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,6,3,5,7,4,4,4,2,13,eino; muusika; eesti; steinway; helilooja; nüüdismuusika; tamberg; noor
6,6,3,5,7,5,4,4,2,13,eino; muusika; eesti; steinway; helilooja; nüüdismuusika; publik; tamberg; noor
6,6,4,5,6,5,4,4,2,13,eino; muusika; eesti; steinway; helilooja; nüüdismuusika; publik; tamberg; noor
6,6,4,5,6,6,4,4,2,13,eino; muusika; eesti; steinway; helilooja; nüüdismuusika; publik; tamberg; noor
5,6,5,5,6,7,4,3,2,13,eino; muusika; eesti; steinway; helilooja; nüüdismuusika; publik; tamberg; noor
4,5,6,4,6,7,7,4,4,13,eino; muusika; eesti; steinway; helilooja; nüüdismuusika; publik; tamberg; noor
4,6,6,5,7,6,6,6,5,13,eino; muusika; eesti; steinway; helilooja; nüüdismuusika; publik; tamberg; noor
5,6,6,6,7,5,5,6,6,13,eino; muusika; eesti; steinway; helilooja; nüüdismuusika; publik; tamberg; noor
5,5,5,7,6,6,5,5,6,13,eino; muusika; eesti; steinway; helilooja; publik; tamberg; noor
5,4,7,7,6,6,6,7,7,13,eino; muusika; eesti; steinway; helilooja; publik; tamberg; noor
5,4,6,7,6,6,6,6,6,13,eino; muusika; eesti; steinway; helilooja; publik; tamberg; noor
