EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,4,5,5,0,5,2,5,4,10,kirik; russow; aadlik; talupoeg; pulmad; pidu; liivimaa; sõda
5,5,5,5,0,6,2,5,4,10,kirik; russow; aadlik; talupoeg; pulmad; pidu; liivimaa; sõda
5,6,4,4,0,5,3,4,4,10,kirik; russow; aadlik; talupoeg; pulmad; pidu; liivimaa; sõda
4,6,4,4,0,5,3,5,4,10,kirik; russow; aadlik; talupoeg; pulmad; pidu; liivimaa; sõda
4,5,4,4,0,5,3,6,4,10,kirik; russow; aadlik; talupoeg; pulmad; pidu; liivimaa; sõda
4,6,5,3,1,5,6,5,4,10,kirik; russow; aadlik; talupoeg; pulmad; pidu; liivimaa; sõda
5,4,5,3,2,3,5,4,4,10,kirik; russow; talupoeg; aadlik; pulmad; pidu; liivimaa; sõda
5,4,5,4,2,4,3,3,4,10,kirik; russow; talupoeg; aadlik; pulmad; pidu; liivimaa; sõda
5,4,3,4,2,1,2,2,3,10,kirik; russow; talupoeg; aadlik; pulmad; pidu; liivimaa; sõda
4,5,6,5,2,0,3,4,3,10,kirik; russow; aadlik; talupoeg; pulmad; pidu; liivimaa; sõda
4,2,2,5,1,1,3,4,3,10,kirik; russow; aadlik; talupoeg; pulmad; pidu; liivimaa; sõda
