EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,9,5,8,5,8,7,9,5,14,aiad; ränder; sotsia; salajased; biotehnoloogia; infotankistid; näitus; akvarell; kunst; elken; jaan; maal
8,9,6,9,5,9,7,10,5,14,aiad; ränder; sotsia; salajased; biotehnoloogia; infotankistid; näitus; akvarell; kunst; elken; jaan; maal
8,9,6,9,7,9,7,8,5,14,aiad; ränder; sotsia; salajased; biotehnoloogia; infotankistid; näitus; akvarell; kunst; elken; jaan; maal
8,9,7,8,7,10,7,8,5,14,aiad; ränder; sotsia; salajased; biotehnoloogia; infotankistid; näitus; akvarell; kunst; elken; jaan; maal
8,10,7,8,7,10,8,8,5,14,aiad; ränder; sotsia; salajased; biotehnoloogia; infotankistid; näitus; akvarell; kunst; elken; jaan; maal
8,10,8,8,8,10,10,8,5,14,aiad; ränder; sotsia; salajased; biotehnoloogia; infotankistid; näitus; akvarell; kunst; elken; jaan; maal
9,7,9,9,8,9,9,11,7,14,aiad; ränder; sotsia; salajased; biotehnoloogia; infotankistid; näitus; akvarell; kunst; elken; jaan; maal
6,5,11,7,7,8,7,10,8,14,aiad; ränder; sotsia; salajased; biotehnoloogia; infotankistid; näitus; akvarell; kunst; elken; jaan; maal
8,7,11,7,6,8,9,8,6,14,aiad; ränder; sotsia; salajased; biotehnoloogia; infotankistid; näitus; akvarell; kunst; elken; jaan; maal
8,4,12,7,5,6,9,8,6,14,aiad; ränder; sotsia; salajased; biotehnoloogia; infotankistid; näitus; akvarell; kunst; elken; jaan; maal
6,5,11,7,7,5,5,9,6,14,aiad; ränder; sotsia; salajased; biotehnoloogia; infotankistid; näitus; akvarell; kunst; elken; jaan; maal
