EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,6,3,4,3,4,6,4,6,13,jack; kadri-ann; heino; silver; hobune; väli; admiral
4,6,4,4,4,5,6,4,6,13,jack; kadri-ann; heino; silver; hobune; väli; admiral
3,6,4,4,5,5,6,5,6,13,kadri-ann; jack; heino; silver; hobune; väli; admiral
3,6,4,4,5,5,6,5,6,13,kadri-ann; jack; heino; silver; hobune; väli; admiral
4,6,5,4,5,6,7,6,6,13,kadri-ann; jack; heino; silver; hobune; väli; admiral
4,7,6,4,5,7,7,7,7,13,kadri-ann; jack; heino; silver; hobune; väli; admiral
5,6,7,4,6,7,6,7,6,13,hobune; kadri-ann; jack; silver; heino; väli; admiral
4,6,7,6,6,7,6,7,6,13,kadri-ann; jack; heino; silver; hobune; väli; admiral
4,5,7,7,6,7,6,7,7,13,hobune; kadri-ann; jack; silver; heino; väli; admiral
4,6,7,7,7,7,6,7,7,13,hobune; kadri-ann; jack; silver; heino; väli; admiral
4,5,7,7,7,7,6,7,7,13,hobune; kadri-ann; jack; silver; heino; väli; admiral
