EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,5,10,0,1,10,10,6,4,11,pedagoog; solist; gerretz; jüri; konservatoorium; mozart; kontsert; interpreet; dirigent; viiul; kammerorkester
4,5,10,0,1,10,10,6,5,11,pedagoog; solist; gerretz; jüri; konservatoorium; mozart; kontsert; interpreet; dirigent; viiul; kammerorkester
4,5,10,0,2,10,10,7,5,11,pedagoog; solist; gerretz; jüri; konservatoorium; mozart; kontsert; interpreet; dirigent; viiul; kammerorkester
3,5,10,0,2,11,10,8,5,11,pedagoog; solist; gerretz; jüri; konservatoorium; mozart; kontsert; interpreet; dirigent; viiul; kammerorkester
3,5,9,0,3,10,9,8,4,11,pedagoog; solist; gerretz; jüri; konservatoorium; mozart; kontsert; interpreet; dirigent; viiul; kammerorkester
2,4,8,3,4,9,6,8,5,11,pedagoog; solist; gerretz; jüri; konservatoorium; mozart; kontsert; interpreet; dirigent; viiul; kammerorkester
3,4,6,5,7,6,6,9,5,11,pedagoog; solist; gerretz; jüri; konservatoorium; mozart; kontsert; interpreet; dirigent; viiul; kammerorkester
3,4,6,4,7,5,5,9,6,11,pedagoog; gerretz; solist; jüri; konservatoorium; mozart; kontsert; interpreet; dirigent; viiul; kammerorkester
2,3,5,7,6,5,6,7,6,11,pedagoog; kontsert; interpreet; gerretz; solist; dirigent; jüri; mozart; viiul; konservatoorium; kammerorkester
2,1,6,8,7,5,5,8,6,11,pedagoog; kontsert; interpreet; gerretz; solist; dirigent; jüri; mozart; viiul; konservatoorium; kammerorkester
2,1,5,8,6,5,5,7,6,11,pedagoog; kontsert; interpreet; gerretz; solist; dirigent; jüri; mozart; viiul; konservatoorium; kammerorkester
