EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,6,7,5,5,4,6,5,3,13,kreutzwald; keskus; eesti; teema-aasta; lugemine; seminar; identiteet
6,6,7,5,5,5,6,5,3,13,kreutzwald; keskus; eesti; teema-aasta; lugemine; seminar; identiteet
6,6,7,5,6,5,6,6,3,13,kreutzwald; keskus; eesti; teema-aasta; lugemine; seminar; identiteet
7,5,7,5,7,5,7,6,3,13,kreutzwald; keskus; eesti; teema-aasta; lugemine; seminar; identiteet
7,5,7,5,7,6,7,7,3,13,kreutzwald; keskus; eesti; teema-aasta; lugemine; seminar; identiteet
7,6,7,5,7,6,7,7,3,13,kreutzwald; keskus; eesti; teema-aasta; lugemine; seminar; identiteet
7,6,7,7,7,7,7,7,3,13,kreutzwald; keskus; eesti; teema-aasta; lugemine; seminar; identiteet
7,5,7,7,7,7,7,7,4,13,kreutzwald; keskus; eesti; teema-aasta; lugemine; seminar; identiteet
7,6,7,7,6,6,7,7,5,13,kreutzwald; keskus; eesti; teema-aasta; lugemine; seminar; identiteet
7,5,7,7,5,6,7,6,5,13,kreutzwald; keskus; eesti; teema-aasta; lugemine; seminar; identiteet
7,6,7,7,5,6,6,6,5,13,kreutzwald; keskus; eesti; teema-aasta; lugemine; seminar; identiteet
