EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,5,4,4,2,4,6,5,7,11,kümnevõistleja; olümpia; andres; klassikaraadio; muusika; freddie; ooperidiiva; barcelona; mercury
7,5,4,4,2,4,6,5,7,11,kümnevõistleja; olümpia; andres; klassikaraadio; muusika; freddie; ooperidiiva; barcelona; mercury
7,5,4,4,2,4,6,5,7,11,kümnevõistleja; olümpia; andres; klassikaraadio; muusika; freddie; ooperidiiva; barcelona; mercury
7,5,4,4,2,4,6,5,7,11,kümnevõistleja; olümpia; andres; klassikaraadio; muusika; freddie; ooperidiiva; barcelona; mercury
7,5,4,4,2,4,6,5,7,11,kümnevõistleja; olümpia; andres; klassikaraadio; muusika; freddie; ooperidiiva; barcelona; mercury
7,5,4,4,2,4,6,5,6,11,kümnevõistleja; olümpia; andres; klassikaraadio; muusika; freddie; ooperidiiva; barcelona; mercury
7,5,4,4,2,4,6,5,6,11,kümnevõistleja; olümpia; andres; klassikaraadio; muusika; freddie; ooperidiiva; barcelona; mercury
7,5,4,4,2,4,6,5,6,11,kümnevõistleja; olümpia; andres; klassikaraadio; muusika; freddie; ooperidiiva; barcelona; mercury
6,5,4,5,2,4,6,5,6,11,kümnevõistleja; olümpia; andres; klassikaraadio; muusika; freddie; ooperidiiva; barcelona; mercury
6,5,4,5,2,4,6,5,6,11,kümnevõistleja; olümpia; andres; muusika; klassikaraadio; freddie; ooperidiiva; barcelona; mercury
6,5,4,5,2,3,6,5,6,11,kümnevõistleja; olümpia; andres; muusika; klassikaraadio; freddie; ooperidiiva; barcelona; mercury
