EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,1,3,1,2,2,3,4,4,11,raamat; kreutzwald; jakobson; mulgi; eesti; inimene; rahvajutt
3,1,3,1,2,2,3,4,4,11,raamat; kreutzwald; jakobson; mulgi; eesti; inimene; rahvajutt
3,1,3,1,2,2,3,4,4,11,raamat; kreutzwald; jakobson; mulgi; eesti; inimene; rahvajutt
3,1,3,1,2,2,3,4,4,11,raamat; kreutzwald; jakobson; mulgi; eesti; inimene; rahvajutt
3,1,3,1,2,2,3,4,4,11,raamat; kreutzwald; jakobson; mulgi; eesti; inimene; rahvajutt
4,1,4,1,2,2,2,4,4,11,raamat; kreutzwald; jakobson; mulgi; eesti; inimene; rahvajutt
4,1,5,1,2,3,2,4,4,11,raamat; kreutzwald; jakobson; mulgi; eesti; inimene; rahvajutt
4,1,3,2,2,2,2,4,4,11,raamat; kreutzwald; jakobson; mulgi; eesti; inimene; rahvajutt
4,1,2,2,2,3,2,3,4,11,raamat; kreutzwald; jakobson; mulgi; eesti; inimene; rahvajutt
3,1,2,2,2,4,2,5,3,11,raamat; kreutzwald; jakobson; mulgi; eesti; inimene; rahvajutt
4,1,2,3,3,3,2,4,3,11,raamat; kreutzwald; jakobson; mulgi; eesti; inimene; rahvajutt
