EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,4,4,5,4,5,5,6,5,15,jumala; eesti; ori; jüri; johannese; kangekaelsus; kannatlikkus; sõna
3,4,4,5,4,5,5,6,5,15,jumala; eesti; ori; jüri; johannese; kangekaelsus; kannatlikkus; sõna
3,4,4,5,4,5,5,6,5,15,jumala; eesti; ori; jüri; johannese; kangekaelsus; kannatlikkus; sõna
3,4,4,5,4,5,5,6,5,15,jumala; eesti; ori; jüri; johannese; kangekaelsus; kannatlikkus; sõna
3,4,4,5,4,5,5,6,5,15,jumala; eesti; ori; jüri; johannese; kangekaelsus; kannatlikkus; sõna
3,4,4,5,4,5,5,6,5,15,jumala; eesti; ori; jüri; johannese; kangekaelsus; kannatlikkus; sõna
3,4,4,5,4,5,5,6,5,15,jumala; eesti; ori; jüri; johannese; kangekaelsus; kannatlikkus; sõna
3,4,4,5,4,5,5,6,5,15,jumala; eesti; ori; jüri; johannese; kangekaelsus; kannatlikkus; sõna
3,4,4,5,4,5,5,6,5,15,jumala; eesti; ori; jüri; johannese; kangekaelsus; kannatlikkus; sõna
3,4,4,5,4,5,5,6,5,15,jumala; eesti; ori; jüri; johannese; kangekaelsus; kannatlikkus; sõna
3,4,4,5,4,5,5,6,5,15,jumala; eesti; ori; jüri; johannese; kangekaelsus; kannatlikkus; sõna
