EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
0,2,2,0,2,2,2,3,0,12,nurk; raamat; vangla; kirjade; võitlus; martin; sidepidamine
0,2,2,0,2,2,2,3,0,12,nurk; raamat; vangla; kirjade; võitlus; martin; sidepidamine
0,2,2,0,2,2,2,3,0,12,nurk; raamat; vangla; kirjade; võitlus; martin; sidepidamine
0,2,2,0,2,2,2,3,0,12,nurk; raamat; vangla; kirjade; võitlus; martin; sidepidamine
0,2,2,0,2,2,2,3,0,12,nurk; raamat; vangla; kirjade; võitlus; martin; sidepidamine
0,2,2,0,2,2,2,3,0,12,nurk; raamat; vangla; kirjade; võitlus; martin; sidepidamine
0,2,2,0,2,2,2,3,0,12,nurk; raamat; vangla; kirjade; võitlus; martin; sidepidamine
0,2,2,0,2,2,2,3,0,12,nurk; raamat; vangla; kirjade; võitlus; martin; sidepidamine
0,2,2,0,2,2,2,3,0,12,nurk; raamat; vangla; kirjade; võitlus; martin; sidepidamine
0,2,2,0,2,2,2,3,0,12,nurk; raamat; vangla; kirjade; võitlus; martin; sidepidamine
0,2,2,0,2,2,2,3,0,12,nurk; raamat; vangla; kirjade; võitlus; martin; sidepidamine
