EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,3,3,4,3,4,3,3,5,12,saatus; laul; mäng; varrukas; trump; eluga
5,3,3,4,3,4,3,3,5,12,saatus; laul; mäng; varrukas; trump; eluga
5,3,3,4,3,4,3,3,5,12,saatus; laul; mäng; varrukas; trump; eluga
5,3,3,4,3,4,3,3,5,12,saatus; laul; mäng; varrukas; trump; eluga
5,3,3,4,3,4,3,3,5,12,saatus; laul; mäng; varrukas; trump; eluga
5,3,3,4,3,4,3,3,5,12,saatus; laul; mäng; varrukas; trump; eluga
5,3,3,4,3,4,3,3,5,12,saatus; laul; mäng; varrukas; trump; eluga
5,3,3,4,3,4,3,3,5,12,saatus; laul; mäng; varrukas; trump; eluga
5,3,3,4,3,4,3,3,5,12,saatus; laul; mäng; varrukas; trump; eluga
5,3,3,4,3,4,3,3,5,12,saatus; laul; mäng; varrukas; trump; eluga
5,3,3,4,3,4,3,3,5,12,saatus; laul; mäng; varrukas; trump; eluga
