EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,5,6,4,2,5,5,4,4,13,hüpertroofia; surmapatt; aegunud; evangelist; kõrkus; käegalöömine; kiusatus; tarbijalik
7,4,7,4,2,5,5,4,4,13,hüpertroofia; surmapatt; aegunud; evangelist; kõrkus; käegalöömine; kiusatus; tarbijalik
7,3,6,4,2,5,5,5,4,13,hüpertroofia; surmapatt; aegunud; evangelist; kõrkus; käegalöömine; kiusatus; tarbijalik
7,3,6,3,2,5,4,5,4,13,hüpertroofia; surmapatt; aegunud; evangelist; kõrkus; käegalöömine; kiusatus; tarbijalik
7,3,7,3,2,5,4,6,4,13,hüpertroofia; surmapatt; aegunud; evangelist; kõrkus; käegalöömine; kiusatus; tarbijalik
7,4,5,4,2,4,4,6,4,13,hüpertroofia; surmapatt; aegunud; evangelist; kõrkus; käegalöömine; kiusatus; tarbijalik
5,3,4,4,2,2,4,6,5,13,hüpertroofia; surmapatt; aegunud; evangelist; kõrkus; käegalöömine; kiusatus; tarbijalik
3,3,5,6,3,4,4,6,5,13,hüpertroofia; surmapatt; aegunud; evangelist; kõrkus; käegalöömine; kiusatus; tarbijalik
2,3,5,5,4,4,3,5,5,13,hüpertroofia; surmapatt; aegunud; evangelist; kõrkus; käegalöömine; kiusatus; tarbijalik
2,5,5,5,4,3,2,7,3,13,hüpertroofia; surmapatt; aegunud; evangelist; kõrkus; käegalöömine; kiusatus; tarbijalik
3,5,4,4,4,4,2,5,3,13,hüpertroofia; surmapatt; aegunud; evangelist; kõrkus; käegalöömine; kiusatus; tarbijalik
