EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,5,5,4,2,6,3,6,4,12,andres; estonia; teater; köster; näitleja; jõgis; loorberipärg; teenima; leiba
5,4,5,4,2,7,5,6,4,12,andres; estonia; teater; köster; näitleja; jõgis; loorberipärg; teenima; leiba
5,6,4,4,2,7,6,6,4,12,andres; estonia; teater; köster; näitleja; jõgis; loorberipärg; teenima; leiba
5,5,3,4,2,7,6,6,5,12,andres; estonia; teater; köster; näitleja; jõgis; loorberipärg; teenima; leiba
6,5,2,4,2,8,3,5,5,12,andres; estonia; teater; köster; näitleja; jõgis; loorberipärg; teenima; leiba
4,6,3,4,2,6,5,5,5,12,andres; estonia; teater; köster; näitleja; jõgis; loorberipärg; teenima; leiba
4,4,4,6,2,6,6,5,4,12,andres; estonia; teater; köster; näitleja; jõgis; loorberipärg; teenima; leiba
3,3,2,6,4,4,5,5,4,12,andres; estonia; teater; köster; näitleja; jõgis; loorberipärg; teenima; leiba
3,5,2,5,4,6,5,6,5,12,andres; estonia; teater; köster; näitleja; jõgis; loorberipärg; teenima; leiba
2,4,5,5,6,4,7,5,8,12,andres; estonia; teater; köster; näitleja; jõgis; loorberipärg; teenima; leiba
2,4,3,5,5,3,4,4,8,12,andres; estonia; teater; köster; näitleja; jõgis; loorberipärg; teenima; leiba
