EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,6,3,4,5,6,6,6,7,13,heinsoo; käär; hiiu; merike; lili; sõna; lasteraamat
7,6,5,4,6,7,6,6,7,13,heinsoo; käär; hiiu; merike; lili; sõna; lasteraamat
7,4,5,4,6,7,6,6,7,13,heinsoo; käär; hiiu; merike; lili; sõna; lasteraamat
7,4,7,4,6,7,7,6,7,13,heinsoo; käär; hiiu; merike; lili; sõna; lasteraamat
7,4,7,4,6,7,7,6,7,13,heinsoo; käär; hiiu; merike; lili; sõna; lasteraamat
7,4,7,4,6,7,7,6,7,13,heinsoo; hiiu; käär; merike; lili; sõna; lasteraamat
7,5,7,4,6,7,7,6,7,13,heinsoo; hiiu; käär; merike; lili; sõna; lasteraamat
7,5,7,6,6,7,7,7,7,13,heinsoo; hiiu; käär; merike; lili; sõna; lasteraamat
4,3,7,7,7,7,6,7,7,13,heinsoo; hiiu; käär; merike; lili; sõna; lasteraamat
4,4,7,7,7,7,7,6,7,13,hiiu; käär; heinsoo; merike; lili; sõna; lasteraamat
4,5,6,7,7,7,6,7,7,13,hiiu; heinsoo; käär; merike; lili; sõna; lasteraamat
