EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,3,6,6,5,3,4,6,6,12,regulatsioon; andmed; portaal; kristjan; port; seadus; euroopa
7,3,6,6,5,3,4,5,6,12,regulatsioon; andmed; portaal; kristjan; port; seadus; euroopa
7,3,6,6,6,3,4,5,6,12,regulatsioon; andmed; portaal; kristjan; port; seadus; euroopa
7,3,6,6,7,3,4,6,6,12,regulatsioon; andmed; portaal; kristjan; port; seadus; euroopa
7,3,6,7,7,3,4,6,6,12,regulatsioon; andmed; portaal; kristjan; port; seadus; euroopa
7,3,7,7,7,4,5,6,6,12,regulatsioon; andmed; portaal; kristjan; port; seadus; euroopa
6,3,6,7,7,6,4,7,6,12,regulatsioon; andmed; portaal; kristjan; port; seadus; euroopa
5,4,5,7,7,5,5,6,6,12,regulatsioon; andmed; portaal; kristjan; port; seadus; euroopa
5,5,6,7,7,7,5,6,5,12,regulatsioon; portaal; andmed; kristjan; port; seadus; euroopa
5,6,5,7,7,6,5,6,5,12,regulatsioon; portaal; andmed; kristjan; port; seadus; euroopa
5,6,5,7,7,5,5,7,7,12,regulatsioon; portaal; andmed; kristjan; port; seadus; euroopa
