EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,7,3,4,2,5,3,5,3,12,vihm; linn; kikkas; kaupo; amazonas; inka; surnute; salapärane
4,7,3,3,2,6,3,6,3,12,vihm; linn; kikkas; kaupo; amazonas; inka; surnute; salapärane
4,7,3,3,2,7,5,6,3,12,vihm; linn; kikkas; kaupo; amazonas; inka; surnute; salapärane
4,7,3,3,1,5,5,6,3,12,vihm; linn; kikkas; kaupo; amazonas; inka; surnute; salapärane
5,7,4,3,2,5,5,6,3,12,vihm; linn; kikkas; kaupo; amazonas; inka; surnute; salapärane
5,7,3,3,2,5,6,7,3,12,vihm; linn; kikkas; kaupo; amazonas; inka; surnute; salapärane
6,7,8,5,2,5,5,6,3,12,vihm; linn; kikkas; kaupo; amazonas; inka; surnute; salapärane
3,5,8,5,4,5,7,7,5,12,vihm; linn; kikkas; kaupo; amazonas; inka; surnute; salapärane
3,4,6,5,6,5,4,6,6,12,vihm; linn; kikkas; kaupo; amazonas; inka; surnute; salapärane
4,4,7,5,5,5,5,4,6,12,vihm; linn; kikkas; kaupo; amazonas; inka; surnute; salapärane
4,3,5,5,8,5,3,7,6,12,vihm; linn; kikkas; kaupo; amazonas; inka; surnute; salapärane
