EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,4,2,4,1,3,3,4,2,11,jüri; kiirabi; salmre; rannavalve; meresaade; tuukrikaater; kaart; kiirkaater
5,4,2,4,1,3,3,4,3,11,jüri; kiirabi; salmre; rannavalve; meresaade; tuukrikaater; kaart; kiirkaater
5,4,3,4,1,3,3,4,3,11,jüri; kiirabi; salmre; rannavalve; meresaade; tuukrikaater; kaart; kiirkaater
5,4,3,4,1,3,4,4,3,11,jüri; kiirabi; salmre; rannavalve; meresaade; tuukrikaater; kaart; kiirkaater
6,4,3,4,1,3,3,4,3,11,jüri; kiirabi; salmre; rannavalve; meresaade; tuukrikaater; kaart; kiirkaater
5,3,4,4,3,4,7,4,3,11,jüri; kiirabi; salmre; rannavalve; meresaade; tuukrikaater; kaart; kiirkaater
4,3,3,4,4,5,5,5,5,11,kiirabi; jüri; salmre; rannavalve; meresaade; tuukrikaater; kaart; kiirkaater
3,5,5,4,5,5,5,6,5,11,jüri; kiirabi; salmre; meresaade; rannavalve; tuukrikaater; kaart; kiirkaater
4,5,3,3,5,3,4,5,5,11,jüri; kiirabi; salmre; meresaade; rannavalve; tuukrikaater; kaart; kiirkaater
2,5,4,3,6,3,4,4,5,11,kiirabi; jüri; salmre; meresaade; rannavalve; tuukrikaater; kaart; kiirkaater
2,6,2,3,6,4,6,3,5,11,jüri; kiirabi; salmre; meresaade; rannavalve; tuukrikaater; kaart; kiirkaater
