EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,4,8,2,4,6,5,8,7,12,mari; aabits; tahvel; kadakas; esimene; raha; lugu; sõna; tarand
5,4,8,2,4,5,5,8,7,12,mari; aabits; tahvel; kadakas; esimene; raha; lugu; sõna; tarand
5,4,8,3,4,5,5,8,7,12,mari; aabits; tahvel; kadakas; esimene; raha; lugu; sõna; tarand
5,4,8,2,4,5,6,8,7,12,mari; aabits; tahvel; kadakas; esimene; raha; lugu; sõna; tarand
4,3,8,3,5,5,5,9,7,12,mari; aabits; tahvel; kadakas; esimene; raha; lugu; sõna; tarand
5,4,8,4,5,5,5,9,7,12,mari; aabits; tahvel; kadakas; esimene; raha; lugu; sõna; tarand
4,4,6,5,6,6,7,9,7,12,mari; aabits; tahvel; kadakas; esimene; raha; lugu; sõna; tarand
4,4,5,5,7,6,7,6,8,12,mari; aabits; tahvel; kadakas; esimene; raha; lugu; sõna; tarand
7,4,6,5,7,6,8,5,8,12,mari; aabits; tahvel; kadakas; esimene; raha; lugu; sõna; tarand
6,3,6,5,7,6,9,7,7,12,mari; aabits; tahvel; kadakas; esimene; raha; lugu; sõna; tarand
6,3,6,5,7,6,8,7,7,12,mari; aabits; tahvel; kadakas; esimene; raha; lugu; sõna; tarand
