EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,2,4,3,4,5,6,6,6,13,töö; hellat; isolatsioon; peeter; arstiteadus; sajandi; pidalitõbi
5,2,4,3,4,5,6,6,6,13,töö; hellat; isolatsioon; peeter; arstiteadus; sajandi; pidalitõbi
5,2,5,3,4,5,6,5,6,13,töö; hellat; isolatsioon; peeter; arstiteadus; sajandi; pidalitõbi
5,2,4,2,4,4,6,6,6,13,töö; hellat; isolatsioon; peeter; arstiteadus; sajandi; pidalitõbi
4,4,5,2,4,5,6,7,6,13,töö; hellat; isolatsioon; peeter; arstiteadus; sajandi; pidalitõbi
5,3,5,2,5,5,5,5,6,13,töö; hellat; isolatsioon; peeter; arstiteadus; sajandi; pidalitõbi
6,4,4,3,6,4,5,5,6,13,töö; isolatsioon; pidalitõbi; peeter; arstiteadus; sajandi; hellat
7,3,5,5,7,5,3,4,6,13,töö; isolatsioon; pidalitõbi; peeter; arstiteadus; sajandi; hellat
7,3,5,5,6,4,5,5,5,13,töö; isolatsioon; pidalitõbi; peeter; arstiteadus; sajandi; hellat
7,3,6,5,7,5,5,4,4,13,töö; isolatsioon; pidalitõbi; peeter; arstiteadus; sajandi; hellat
7,5,6,7,6,5,5,4,3,13,töö; isolatsioon; pidalitõbi; peeter; arstiteadus; sajandi; hellat
