EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,4,5,4,1,4,5,3,4,12,majandus; gaudeamus; afganistan; inflatsioon; eesti; euro
6,4,5,4,1,4,5,3,4,12,majandus; gaudeamus; afganistan; inflatsioon; eesti; euro
6,4,5,4,1,4,5,3,4,12,majandus; gaudeamus; afganistan; inflatsioon; eesti; euro
6,4,5,4,2,5,5,6,4,12,majandus; gaudeamus; afganistan; inflatsioon; eesti; euro
6,4,6,4,3,6,5,6,4,12,majandus; gaudeamus; afganistan; inflatsioon; eesti; euro
5,4,6,6,4,5,6,6,4,12,majandus; gaudeamus; afganistan; inflatsioon; eesti; euro
6,4,6,6,4,5,5,5,4,12,majandus; gaudeamus; afganistan; inflatsioon; eesti; euro
4,5,6,6,4,5,6,6,4,12,majandus; gaudeamus; afganistan; inflatsioon; eesti; euro
3,5,6,6,4,6,5,6,4,12,majandus; gaudeamus; afganistan; inflatsioon; eesti; euro
3,5,5,5,4,6,5,6,4,12,majandus; gaudeamus; afganistan; inflatsioon; eesti; euro
3,5,5,5,4,6,5,6,4,12,majandus; gaudeamus; afganistan; inflatsioon; eesti; euro
