EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,6,7,5,6,4,4,5,4,12,krista; kerge; haridus; meedia; lingvistika; keel; hajumine
6,6,7,6,6,4,4,5,4,12,krista; kerge; haridus; meedia; lingvistika; keel; hajumine
6,6,7,6,6,4,4,5,5,12,krista; kerge; haridus; meedia; lingvistika; keel; hajumine
6,6,7,6,6,4,4,5,5,12,krista; kerge; haridus; meedia; lingvistika; keel; hajumine
7,6,7,6,6,4,5,6,5,12,krista; kerge; meedia; haridus; lingvistika; keel; hajumine
5,7,7,6,6,7,6,6,5,12,krista; kerge; meedia; haridus; lingvistika; keel; hajumine
7,5,6,7,6,6,6,6,6,12,krista; kerge; haridus; meedia; lingvistika; keel; hajumine
7,6,7,6,5,7,6,5,5,12,krista; kerge; haridus; meedia; lingvistika; keel; hajumine
7,6,7,6,5,6,7,4,5,12,krista; kerge; haridus; meedia; lingvistika; keel; hajumine
7,6,5,6,6,6,6,6,5,12,krista; kerge; haridus; meedia; lingvistika; keel; hajumine
6,6,5,6,7,7,7,6,5,12,krista; kerge; haridus; meedia; lingvistika; keel; hajumine
