EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM_multi;MiniLM-L12_multi;multi_e5;xml_roberta
põus püstolipära moment;omapärane andma metagalaktika;eriti teadlane mäletama;Köödes Ülikool jääma;objekt aine asendama;aasta paan kuulaja;Gustav Naan naiivne;Gustav Naan kirjutama;järg lootusetult vananema
jälle Snaiper värk;aasta sündima aeg;näiteks lapsepõlv ilmselt;Logesiliseb korrespondentliige hämmastama;kostma tuttav signaal;ettekujutus aeg küllaltki;viimane aasta mõttetegevus;tulenema Gustav Naan;panema tahes-tahtma mõtlema
fašis kõne 39;tähendama kuu aeg;intervjuu lugema sündima;üldse vaevalt eksisteerima;andma metagalaktika objekt;ajaviide huvi pakkuma;aasta mõttetegevus kvintessents;stuudio Gustav Naan;ühesõnaga 50 -st
tõusma kiires tempo;sära veenma asi;asuv väike küla;pidevalt Ani õppima;mees haavama funktsioon;asuma aeg skaala;aasta paan kuulaja;Gustav Naan naiivne;ülemaailmne teadvus eesti
Moskva hüpotees 64;tähendama lasu nii-öelda;evolutsioon tõenäoliselt evolutsioon;spetsiifika hästi tegelema;vastama omapärane andma;isik nägema aeg;aasta ettekujutus aeg;Naan kirjutama 1964;avastus ajalugu võrdlemisi
ettevalmistus käima konspiratiiv;sõda tähendama teadvus;küla tähendama sünnikoht;ütlema katse Kingissepp;andma maailm hilisem;lugema ajaviide huvi;lootma viimane aasta;direktor Gustav Naan;tähendama jääma võib-olla
Ellosioon tore tunne;tähendama esimene oa;naiivne suur optimist;nii-öelda astronoomia parem;eksam medal tookord;viimane aasta mõttetegevus;aasta pakkuma hüpotees;Naan kirjutama elu;pidutsemine ärkama väga-väga
sõna fašism fašp;esimene tutvaminaal isa;asuma üksik talu;tegelik seee tõlgendama;hirm formuleeritama sära;mai andma mainimisväärne;ettekujutus aeg küllaltki;sünnikoht Vladivostok varasem;märkamatult tähendama nii-öelda
huvitama nähtus dialektilisus;päev saabuma seitsmeteistkümnes;tähendama esimene aasta;näitama professionaal vaegoma;andma aeg näiteks;ajal kuluma mari;aasta ilmuma järjekord;tähendama sünnikoht Vladivostok;püüdma täpselt võimalik
üldse ülikool õppejõud;maamõõtja nähtavasti äranägemine;näiteks mäletama spordiklubi;ettenägelik paber valmis;probleem nii-öelda daam;aasta ettekujutus aeg;lootusetult vananema aasta;sünnikoht Vladivostok meta;mäletama näiteks suur
