EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,5,2,4,6,3,4,4,3,11,klaas; eerik; neodüüm; mart; mendelejevi; aktiivne; muldmetall
5,5,2,4,6,3,4,4,3,11,klaas; eerik; neodüüm; mart; mendelejevi; aktiivne; muldmetall
5,5,2,4,6,3,4,4,3,11,klaas; eerik; neodüüm; mart; mendelejevi; aktiivne; muldmetall
5,5,2,4,6,3,4,4,3,11,klaas; eerik; neodüüm; mart; mendelejevi; aktiivne; muldmetall
5,5,2,4,6,3,4,4,3,11,klaas; eerik; neodüüm; mart; mendelejevi; aktiivne; muldmetall
5,5,2,4,6,3,4,4,3,11,klaas; eerik; neodüüm; mart; mendelejevi; aktiivne; muldmetall
5,5,2,4,6,3,4,4,3,11,klaas; eerik; neodüüm; mart; mendelejevi; aktiivne; muldmetall
5,5,2,4,6,3,4,4,3,11,klaas; eerik; neodüüm; mart; mendelejevi; aktiivne; muldmetall
5,5,2,4,6,3,4,4,3,11,klaas; eerik; neodüüm; mart; mendelejevi; aktiivne; muldmetall
5,5,2,4,6,3,4,4,3,11,klaas; eerik; neodüüm; mart; mendelejevi; aktiivne; muldmetall
5,5,2,4,6,3,4,4,3,11,klaas; eerik; neodüüm; mart; mendelejevi; aktiivne; muldmetall
