EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,5,4,5,4,4,6,5,7,11,olümpia; barcelona; kümnevõistleja; muusika; mercury; andres; klassikaraadio; ooperidiiva; freddie
8,5,4,5,4,4,6,5,7,11,olümpia; barcelona; kümnevõistleja; muusika; mercury; andres; klassikaraadio; ooperidiiva; freddie
8,5,4,5,4,4,6,5,7,11,olümpia; barcelona; kümnevõistleja; muusika; mercury; andres; klassikaraadio; ooperidiiva; freddie
8,5,4,5,4,4,6,5,7,11,olümpia; barcelona; kümnevõistleja; muusika; mercury; andres; klassikaraadio; ooperidiiva; freddie
8,5,4,5,4,4,6,5,7,11,olümpia; barcelona; kümnevõistleja; muusika; mercury; andres; klassikaraadio; ooperidiiva; freddie
8,5,4,5,4,4,6,5,7,11,olümpia; barcelona; kümnevõistleja; muusika; mercury; andres; klassikaraadio; ooperidiiva; freddie
8,5,4,5,4,4,6,5,7,11,olümpia; barcelona; kümnevõistleja; muusika; mercury; andres; klassikaraadio; ooperidiiva; freddie
8,5,4,5,4,4,6,5,7,11,olümpia; barcelona; kümnevõistleja; muusika; mercury; andres; klassikaraadio; ooperidiiva; freddie
8,5,4,5,4,4,6,5,7,11,olümpia; barcelona; kümnevõistleja; muusika; mercury; andres; klassikaraadio; ooperidiiva; freddie
8,5,4,5,4,4,6,5,7,11,olümpia; barcelona; kümnevõistleja; muusika; mercury; andres; klassikaraadio; ooperidiiva; freddie
7,5,4,5,4,4,6,5,7,11,olümpia; barcelona; kümnevõistleja; muusika; mercury; andres; klassikaraadio; ooperidiiva; freddie
