EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,1,1,0,3,3,2,1,0,11,jaan; vastik; etendus; sugulane; nutune
1,1,1,0,3,3,2,1,0,11,jaan; vastik; etendus; sugulane; nutune
1,1,1,0,3,3,2,1,0,11,jaan; vastik; etendus; sugulane; nutune
1,1,1,0,3,3,2,1,0,11,jaan; vastik; etendus; sugulane; nutune
1,1,1,0,3,3,2,1,0,11,jaan; vastik; etendus; sugulane; nutune
1,1,1,0,3,3,2,1,0,11,jaan; vastik; etendus; sugulane; nutune
1,1,1,0,3,3,2,1,0,11,jaan; vastik; etendus; sugulane; nutune
1,1,1,0,3,3,2,1,0,11,jaan; vastik; etendus; sugulane; nutune
1,1,1,0,3,3,2,1,0,11,jaan; vastik; etendus; sugulane; nutune
1,1,1,0,3,3,2,1,0,11,jaan; vastik; etendus; sugulane; nutune
1,1,1,0,3,3,2,1,0,11,jaan; vastik; etendus; sugulane; nutune
