EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,3,5,3,4,5,4,6,6,10,töö; vabadus; varandus; õigus; iseseisvus; kolhoos; talu
3,3,5,3,4,5,4,6,5,10,töö; vabadus; varandus; õigus; iseseisvus; kolhoos; talu
3,3,5,3,4,5,4,6,5,10,töö; vabadus; varandus; õigus; iseseisvus; kolhoos; talu
3,3,5,3,4,5,4,6,5,10,töö; vabadus; varandus; õigus; iseseisvus; kolhoos; talu
3,3,5,3,4,5,4,6,5,10,töö; vabadus; varandus; õigus; iseseisvus; kolhoos; talu
3,3,5,3,4,5,4,6,5,10,töö; vabadus; varandus; õigus; iseseisvus; kolhoos; talu
3,3,5,3,4,5,4,6,5,10,töö; vabadus; varandus; õigus; iseseisvus; kolhoos; talu
3,3,5,3,4,5,4,6,5,10,töö; vabadus; varandus; õigus; iseseisvus; kolhoos; talu
3,3,6,3,4,5,4,6,5,10,töö; vabadus; varandus; õigus; iseseisvus; kolhoos; talu
3,3,6,3,4,5,4,6,5,10,töö; vabadus; varandus; õigus; iseseisvus; kolhoos; talu
3,3,6,3,4,5,4,6,5,10,töö; vabadus; varandus; õigus; iseseisvus; kolhoos; talu
