EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,3,3,4,3,4,4,4,2,12,eero; hääl; raadio; sepling; nukuteater; ferdinand; buratino
4,3,3,4,3,4,4,4,2,12,eero; hääl; raadio; sepling; nukuteater; ferdinand; buratino
4,3,3,4,3,4,4,4,2,12,eero; hääl; raadio; sepling; nukuteater; ferdinand; buratino
4,3,3,4,3,4,4,4,2,12,eero; hääl; raadio; sepling; nukuteater; ferdinand; buratino
4,5,3,4,3,4,4,4,2,12,eero; hääl; raadio; sepling; nukuteater; ferdinand; buratino
4,5,3,4,3,4,4,5,2,12,eero; hääl; raadio; sepling; nukuteater; ferdinand; buratino
5,5,5,5,3,3,4,5,2,12,eero; hääl; raadio; sepling; nukuteater; ferdinand; buratino
4,3,5,4,4,5,5,3,2,12,eero; hääl; raadio; sepling; nukuteater; ferdinand; buratino
4,4,6,5,4,3,5,5,2,12,eero; hääl; raadio; sepling; nukuteater; buratino; ferdinand
4,3,5,4,4,3,5,4,3,12,eero; hääl; raadio; sepling; nukuteater; buratino; ferdinand
5,4,5,5,3,4,5,4,2,12,eero; hääl; raadio; sepling; nukuteater; ferdinand; buratino; kultuuriminister
