EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,3,2,4,3,4,3,5,4,13,hellat; paanikapuhang; doktoritöö; peeter; balti; tartu; arstiteadus; pidalitõbi
4,3,2,4,3,4,3,5,4,13,hellat; paanikapuhang; doktoritöö; peeter; balti; tartu; arstiteadus; pidalitõbi
4,3,2,4,3,4,3,5,4,13,hellat; paanikapuhang; doktoritöö; peeter; balti; tartu; arstiteadus; pidalitõbi
4,3,2,4,3,4,3,5,4,13,hellat; paanikapuhang; doktoritöö; peeter; balti; tartu; arstiteadus; pidalitõbi
4,3,3,4,3,4,3,5,4,13,hellat; paanikapuhang; doktoritöö; peeter; balti; tartu; arstiteadus; pidalitõbi
4,3,1,4,3,3,3,4,4,13,hellat; paanikapuhang; doktoritöö; peeter; balti; tartu; arstiteadus; pidalitõbi
3,3,1,3,3,2,6,4,4,13,hellat; paanikapuhang; doktoritöö; peeter; balti; tartu; arstiteadus; pidalitõbi
5,3,2,3,3,2,4,4,4,13,hellat; paanikapuhang; doktoritöö; peeter; balti; tartu; arstiteadus; pidalitõbi
6,3,2,3,3,2,3,3,4,13,hellat; paanikapuhang; doktoritöö; peeter; balti; tartu; arstiteadus; pidalitõbi
5,2,3,2,3,2,4,3,4,13,hellat; paanikapuhang; doktoritöö; peeter; balti; tartu; arstiteadus; pidalitõbi
5,3,1,2,3,4,4,3,4,13,paanikapuhang; pidalitõbi; doktoritöö; peeter; balti; tartu; arstiteadus; hellat
