EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,9,5,7,6,6,6,3,8,16,tarmo; vahur; peeter; lasmann; tõnu; tähelepanu; piret; jürgens; kriivan; tiisler; toomas; naissoo; kersna; tunnustus
9,9,5,7,6,6,6,3,8,16,tarmo; vahur; peeter; lasmann; tõnu; tähelepanu; piret; jürgens; kriivan; tiisler; toomas; naissoo; kersna; tunnustus
9,9,5,7,6,6,6,3,8,16,tarmo; vahur; peeter; lasmann; tõnu; tähelepanu; piret; jürgens; kriivan; tiisler; toomas; naissoo; kersna; tunnustus
9,9,5,7,6,6,6,3,8,16,tarmo; vahur; peeter; lasmann; tõnu; tähelepanu; piret; jürgens; kriivan; tiisler; toomas; naissoo; kersna; tunnustus
9,9,5,7,6,6,6,3,8,16,tarmo; vahur; peeter; lasmann; tõnu; tähelepanu; piret; jürgens; kriivan; tiisler; toomas; naissoo; kersna; tunnustus
9,9,5,7,6,6,6,3,8,16,tarmo; vahur; peeter; lasmann; tõnu; tähelepanu; piret; jürgens; kriivan; tiisler; toomas; naissoo; kersna; tunnustus
9,9,5,7,6,6,6,3,8,16,tarmo; vahur; peeter; lasmann; tõnu; tähelepanu; piret; jürgens; kriivan; tiisler; toomas; naissoo; kersna; tunnustus
9,9,5,7,6,6,6,3,8,16,tarmo; vahur; peeter; lasmann; tõnu; tähelepanu; piret; jürgens; kriivan; tiisler; toomas; naissoo; kersna; tunnustus
9,9,5,7,6,6,6,3,8,16,tarmo; vahur; peeter; lasmann; tõnu; tähelepanu; piret; jürgens; kriivan; tiisler; toomas; naissoo; kersna; tunnustus
9,9,5,7,6,6,6,3,8,16,tarmo; vahur; peeter; lasmann; tõnu; tähelepanu; piret; jürgens; kriivan; tiisler; toomas; naissoo; kersna; tunnustus
9,9,5,7,6,6,6,3,8,16,tarmo; vahur; peeter; lasmann; tõnu; tähelepanu; piret; jürgens; kriivan; tiisler; toomas; naissoo; kersna; tunnustus
