EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,3,2,3,0,3,3,4,1,12,kultuuripäevad; vilimaa; vanemuise; tšehhoslovakkia; ülo; teatritrupp
6,3,2,3,0,3,3,4,1,12,kultuuripäevad; vilimaa; vanemuise; tšehhoslovakkia; ülo; teatritrupp
6,3,2,3,0,3,3,4,1,12,kultuuripäevad; vilimaa; vanemuise; tšehhoslovakkia; ülo; teatritrupp
6,3,2,3,0,3,3,4,1,12,kultuuripäevad; vilimaa; vanemuise; tšehhoslovakkia; ülo; teatritrupp
6,3,2,3,0,3,3,4,1,12,kultuuripäevad; vilimaa; vanemuise; tšehhoslovakkia; ülo; teatritrupp
6,3,2,3,0,3,3,4,1,12,kultuuripäevad; vilimaa; vanemuise; tšehhoslovakkia; ülo; teatritrupp
6,3,2,3,0,3,3,4,1,12,kultuuripäevad; vilimaa; vanemuise; tšehhoslovakkia; ülo; teatritrupp
6,3,2,3,0,3,3,4,1,12,kultuuripäevad; vilimaa; vanemuise; tšehhoslovakkia; ülo; teatritrupp
6,3,2,3,0,4,3,4,1,12,kultuuripäevad; vilimaa; vanemuise; tšehhoslovakkia; ülo; teatritrupp
6,3,2,3,0,4,3,4,1,12,kultuuripäevad; vilimaa; vanemuise; tšehhoslovakkia; ülo; teatritrupp
6,3,3,3,0,4,3,4,1,12,kultuuripäevad; vilimaa; vanemuise; tšehhoslovakkia; ülo; teatritrupp
