EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,4,5,7,6,6,7,6,6,13,kümnevõistleja; andres; muusikamaitse; klassikaraadio; eesti; freddie; barcelona; mercury; raja
7,4,5,7,6,6,7,6,6,13,kümnevõistleja; andres; muusikamaitse; klassikaraadio; eesti; freddie; barcelona; mercury; raja
7,4,5,7,6,6,7,6,6,13,kümnevõistleja; andres; muusikamaitse; klassikaraadio; eesti; freddie; barcelona; mercury; raja
7,4,5,7,6,6,7,6,6,13,kümnevõistleja; andres; muusikamaitse; klassikaraadio; eesti; freddie; barcelona; mercury; raja
7,4,5,7,6,6,7,6,6,13,kümnevõistleja; andres; muusikamaitse; klassikaraadio; eesti; freddie; barcelona; mercury; raja
7,4,5,7,6,6,7,6,6,13,kümnevõistleja; andres; muusikamaitse; klassikaraadio; eesti; freddie; barcelona; mercury; raja
7,4,5,7,6,6,7,6,6,13,kümnevõistleja; andres; muusikamaitse; klassikaraadio; eesti; freddie; barcelona; mercury; raja
7,4,5,7,6,6,7,6,6,13,kümnevõistleja; andres; muusikamaitse; klassikaraadio; eesti; freddie; barcelona; mercury; raja
7,4,5,7,6,6,7,6,6,13,kümnevõistleja; andres; muusikamaitse; klassikaraadio; eesti; freddie; barcelona; mercury; raja
7,4,5,7,6,6,7,6,6,13,kümnevõistleja; andres; muusikamaitse; klassikaraadio; eesti; freddie; barcelona; mercury; raja
6,4,5,7,6,6,7,6,6,13,kümnevõistleja; andres; muusikamaitse; klassikaraadio; eesti; freddie; barcelona; mercury; raja
