EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,2,0,0,5,1,0,3,3,11,trahv; suhkrutrahv; karistus; facebook; andmete; aktsia
3,2,0,0,5,1,0,3,3,11,trahv; suhkrutrahv; karistus; facebook; andmete; aktsia
3,2,0,0,5,1,0,3,2,11,trahv; suhkrutrahv; karistus; facebook; andmete; aktsia
3,2,0,0,5,1,0,3,2,11,trahv; suhkrutrahv; karistus; facebook; andmete; aktsia
3,2,0,0,5,1,0,3,2,11,trahv; suhkrutrahv; karistus; facebook; andmete; aktsia
3,2,0,0,5,1,0,3,2,11,trahv; suhkrutrahv; karistus; facebook; andmete; aktsia
3,2,0,1,5,1,0,3,2,11,trahv; suhkrutrahv; karistus; facebook; andmete; aktsia
2,2,1,0,5,1,0,5,2,11,trahv; suhkrutrahv; karistus; facebook; andmete; aktsia
1,2,2,0,5,0,0,5,2,11,trahv; suhkrutrahv; karistus; facebook; andmete; aktsia
1,2,2,0,5,1,0,3,2,11,trahv; suhkrutrahv; karistus; facebook; andmete; aktsia
1,2,1,0,5,1,0,3,3,11,trahv; suhkrutrahv; karistus; facebook; andmete; aktsia
