EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,4,6,3,1,7,9,5,5,13,johannes; gregorius; jumal; püha; kolmas; misjon; paavst; troon; issand; kirikukalender; pühakutepäev
4,4,6,3,1,7,9,5,5,13,johannes; gregorius; jumal; püha; kolmas; misjon; paavst; troon; issand; kirikukalender; pühakutepäev
4,4,6,3,1,7,9,5,5,13,johannes; gregorius; jumal; püha; kolmas; misjon; paavst; troon; issand; kirikukalender; pühakutepäev
4,4,6,3,1,7,9,5,5,13,johannes; gregorius; jumal; püha; kolmas; misjon; paavst; troon; issand; kirikukalender; pühakutepäev
4,4,6,3,1,7,9,5,5,13,johannes; gregorius; jumal; püha; kolmas; misjon; paavst; troon; issand; kirikukalender; pühakutepäev
4,4,6,3,1,7,9,5,5,13,johannes; gregorius; jumal; püha; kolmas; misjon; paavst; troon; issand; kirikukalender; pühakutepäev
4,4,6,3,1,7,9,5,5,13,johannes; gregorius; jumal; püha; kolmas; misjon; paavst; troon; issand; kirikukalender; pühakutepäev
4,4,6,3,1,7,9,5,5,13,johannes; gregorius; jumal; püha; kolmas; misjon; paavst; troon; issand; kirikukalender; pühakutepäev
4,4,6,3,1,7,9,5,5,13,johannes; gregorius; jumal; püha; kolmas; misjon; paavst; troon; issand; kirikukalender; pühakutepäev
4,4,6,3,1,7,9,5,5,13,johannes; gregorius; jumal; püha; kolmas; misjon; paavst; troon; issand; kirikukalender; pühakutepäev
4,4,6,3,1,7,9,5,5,13,johannes; gregorius; jumal; püha; kolmas; misjon; paavst; troon; issand; kirikukalender; pühakutepäev
