EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,3,3,3,2,5,6,5,5,10,õigus; talu; vabadus; taluseadus; kolhoos; varandus; talupoeg; aktsia; kompensatsioon
5,3,3,3,2,5,6,5,5,10,õigus; talu; vabadus; taluseadus; kolhoos; varandus; talupoeg; aktsia; kompensatsioon
5,3,3,3,2,5,6,5,5,10,õigus; talu; vabadus; taluseadus; kolhoos; varandus; talupoeg; aktsia; kompensatsioon
5,3,3,3,2,5,6,5,5,10,õigus; talu; vabadus; taluseadus; kolhoos; varandus; talupoeg; aktsia; kompensatsioon
5,3,3,3,2,5,6,5,5,10,õigus; talu; vabadus; taluseadus; kolhoos; varandus; talupoeg; aktsia; kompensatsioon
5,3,3,3,2,5,6,5,5,10,õigus; talu; vabadus; taluseadus; kolhoos; varandus; talupoeg; aktsia; kompensatsioon
5,3,3,3,2,5,6,5,5,10,õigus; talu; vabadus; taluseadus; kolhoos; varandus; talupoeg; aktsia; kompensatsioon
5,3,3,3,2,5,6,5,5,10,õigus; talu; vabadus; taluseadus; kolhoos; varandus; talupoeg; aktsia; kompensatsioon
5,3,3,3,2,5,6,5,5,10,õigus; talu; vabadus; taluseadus; kolhoos; varandus; talupoeg; aktsia; kompensatsioon
5,3,3,3,2,5,6,5,5,10,õigus; talu; vabadus; taluseadus; kolhoos; varandus; talupoeg; aktsia; kompensatsioon
5,3,3,3,2,5,6,5,5,10,õigus; talu; vabadus; taluseadus; kolhoos; varandus; talupoeg; aktsia; kompensatsioon
