EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,3,5,1,2,3,4,3,6,11,nurk; washington; alandlikkus; väärtus; ohtlik; seadus; heino; autoriteet
3,3,5,1,2,3,4,3,5,11,nurk; washington; alandlikkus; väärtus; ohtlik; seadus; heino; autoriteet
3,3,5,1,2,3,4,3,5,11,nurk; washington; alandlikkus; väärtus; ohtlik; seadus; heino; autoriteet
3,3,5,1,2,3,4,3,5,11,nurk; washington; alandlikkus; väärtus; ohtlik; seadus; heino; autoriteet
3,3,5,1,2,3,4,3,5,11,nurk; washington; alandlikkus; väärtus; ohtlik; seadus; heino; autoriteet
3,3,5,1,2,3,4,3,5,11,nurk; washington; alandlikkus; väärtus; ohtlik; seadus; heino; autoriteet
3,3,5,1,2,3,4,3,6,11,nurk; washington; alandlikkus; väärtus; ohtlik; seadus; heino; autoriteet
3,3,5,1,2,3,4,3,6,11,nurk; washington; alandlikkus; väärtus; ohtlik; seadus; heino; autoriteet
3,3,5,1,2,3,4,3,6,11,nurk; washington; alandlikkus; väärtus; ohtlik; seadus; heino; autoriteet
3,3,5,1,2,3,4,3,6,11,nurk; washington; alandlikkus; väärtus; ohtlik; seadus; heino; autoriteet
3,3,5,1,2,3,4,3,6,11,nurk; washington; alandlikkus; väärtus; ohtlik; seadus; heino; autoriteet
