EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM_multi;MiniLM-L12_multi;multi_e5;xml_roberta
kompanii ooep marketing;viha annab kirglikkuse;esimene surmapatt kõrkus;kirjutab timoteosele tänulik;lewis kodunt range;surma patule öelda;surmapatt kõrkus tähendab;seitsmest surmapatust esimene;2003 aastal surma
sankt victori huugo;hüpertroofia näiteks nälja;depressiooni tugevamas vormis;hästi parda heitis;vooruste vastandid selge;rääkinud seitsmest surmapatust;surma patule öelda;eneseusu kadedus püüelda;marketing näitab menukas
paul lõppeva nädala;enesehinnangus kallutab liialdama;tablettraviks mõtleme esimesele;seitse tekkis egiptuse;tujukus meeldiv omadus;hommikupalvused hommikutel rääkinud;rääkinud seitsmest surmapatust;rääkinud seitsmest surmapatust;esimene surmapatt kõrkus
paulus ütleb räigelt;vajab protsaki tablettraviks;massiliselt depressiooni tugevamas;atseedia tõlkida laiskust;saavutamise viha annab;õpetus kaheksast surmapatust;surma pattudeks hoiakuid;mõõdukuse puudumine enesehinnangus;üks-üheselt kardinaal vooruste
ladinakeelsed terminit atseedia;annab eneseusu kadedus;esineb massiliselt depressiooni;loomulikult kooskõlas darwini;au igavesti aamen;seitsmest surmapatust esimene;surmapatust esimene surmapatt;seitsmes vasta enesealahindamine;kurjast surmapatud üks-üheselt
liialdamisega loomupärase hüpertroofia;uhkus annab eneseusu;seitsmest surmapatust esimene;parimate reeglitega uhkus;näiteks nälja kustutamine;surmapatt kõrkus tähendab;õpetus kaheksast surmapatust;enesealahindamine käegalöömine ladinakeelsed;surmapattude koostoimele kõrkus
püha paulus ütleb;loomupärase hüpertroofia näiteks;surmapatust esimene surmapatt;väljendub morni tujutsemisena;tänapäev anna andeks;nimetatakse süngelt surmapatuks;laiskust loidust tuimust;õpetus kaheksast surmapatust;voorusest mõõduka mõõdupidamine
äriedule mark lewis;kehtestab tänapäeva edu;esimesele viimasele surma;terminit atseedia tõlkida;igavesti aamen ;seitse surmapattu tõlgitud;õlendamine kurjast surmapatud;surma pattudeks hoiakuid;trükitud 2003 aastal
võttes tungide pärssimine;võtab piiri soovidelt;protsaki tablettraviks mõtleme;ooep marketing näitab;marke youis uhke;aastal surma pattudeks;esimene surmapatt kõrkus;käegalöömine kord enesehinnangus;luteri kiriku vaimulik
kadedus püüelda apluss;depressiooni tugevamas vormis;surmapatt kõrkus tähendab;juudi rabi öelnud;meiegi andeks anname;surmapatust esimene surmapatt;vaga elu pat;annab eneseusu kadedus;vallandatud 28 -ks
