EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,4,3,4,1,2,2,0,0,10,hobi; klassikatähed; oboemängija; ebapopulaarne
3,4,3,4,1,2,2,0,0,10,hobi; klassikatähed; oboemängija; ebapopulaarne
3,4,3,4,1,2,2,0,0,10,hobi; klassikatähed; oboemängija; ebapopulaarne
3,4,3,4,1,2,2,0,0,10,hobi; klassikatähed; oboemängija; ebapopulaarne
3,4,3,4,1,2,2,0,0,10,hobi; klassikatähed; oboemängija; ebapopulaarne
3,3,4,3,1,2,4,0,0,10,hobi; klassikatähed; oboemängija; ebapopulaarne
3,3,4,3,2,3,3,1,0,10,hobi; klassikatähed; oboemängija; ebapopulaarne
2,2,4,2,2,4,3,2,0,10,hobi; klassikatähed; oboemängija; ebapopulaarne
2,3,3,2,2,4,3,2,0,10,hobi; klassikatähed; oboemängija; ebapopulaarne
3,2,3,3,2,4,4,2,0,10,hobi; klassikatähed; oboemängija; ebapopulaarne
2,2,3,3,2,4,3,2,0,10,hobi; klassikatähed; oboemängija; ebapopulaarne
