EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
0,0,0,0,1,1,1,1,0,16,tantsupidu; arm
0,0,0,0,1,1,1,1,0,16,tantsupidu; arm
0,0,0,0,1,1,1,1,0,16,tantsupidu; arm
0,0,0,0,1,1,1,1,0,16,tantsupidu; arm
0,0,0,0,1,1,1,1,0,16,tantsupidu; arm
0,0,0,0,1,1,1,1,0,16,tantsupidu; arm
0,0,0,0,1,1,1,0,0,16,tantsupidu; arm
0,0,0,0,1,0,1,0,0,16,tantsupidu; arm
0,1,0,0,1,0,1,0,0,16,tantsupidu; maa; arm
0,1,0,0,1,0,0,0,0,16,maa; arm
0,1,0,0,1,0,0,0,0,16,maa; arm
