EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,2,4,0,1,3,2,3,0,13,kanada; aasta; popiidol; üksinda; trump; kodus; jäähoki
3,2,4,0,1,3,2,3,0,13,kanada; aasta; popiidol; üksinda; trump; kodus; jäähoki
3,2,4,0,1,3,2,3,0,13,kanada; aasta; popiidol; üksinda; trump; kodus; jäähoki
3,2,4,0,1,3,2,3,0,13,kanada; aasta; popiidol; üksinda; trump; kodus; jäähoki
3,2,4,0,1,3,2,3,0,13,kanada; aasta; popiidol; üksinda; trump; kodus; jäähoki
3,2,4,0,1,3,2,3,0,13,kanada; aasta; popiidol; üksinda; trump; kodus; jäähoki
3,2,4,0,1,2,2,3,0,13,kanada; aasta; popiidol; üksinda; trump; kodus; jäähoki
3,2,4,0,1,2,3,3,0,13,kanada; aasta; popiidol; üksinda; trump; kodus; jäähoki
3,2,3,2,1,2,3,3,0,13,kanada; aasta; popiidol; üksinda; trump; kodus; jäähoki
3,2,3,2,1,2,3,3,0,13,kanada; aasta; popiidol; üksinda; trump; kodus; jäähoki
3,2,3,2,1,2,3,3,0,13,senjoriita; kanada; aasta; popiidol; üksinda; trump; kodus; jäähoki
