EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM_multi;MiniLM-L12_multi;multi_e5;xml_roberta
;kuma;faehlmann;otsekohe;;tervitama;kätkema;võtma;tundma
muistent;kevad;valguseandja;peegelduma;andma;laul;südaöö;ütlema;öö
valgus;tundma;valgusandja;käepigistus;sünd;talv;tervitama;vaatama;ajal
lõhnama;lill;põlema;vanaisakoda;nurm;nihkuma;elanik;hiljemini;lõpetama
taevavõlv;kätkema;tõusev;õitsema;taevas;põhjamaa;peiu;uuesti;esimene
lühim;soovima;lugema;valguseandja;muistent;viibiv;jutustama;jälle;aeg
käepigistus;aasta;;ametikohune;inimene;liiaganem;huul;öö;mees
ametikohune;hool;nimi;siitpeale;armuloog;saabuma;annakustuja;rahvasuu;kaua
liiaganem;vili;kevad;tütreke;ehtima;ametikohune;hiilgama;äratama;leidma
friedrich;valguseandja;põhjamaa;sõstrakarvas;ustavalt;kohus;liiaganem;paremini;alustama
siitpeale;käepigistus;õitsema;järgnema;uus;naljatama;äratama;tüdruk;uuesti
faehlmann;;alustama;ehtima;elu;kutsuma;hüüdma;südaöö;sügavasti
päev;paremini;ilmarine;lühike;esimene;jutustama;armuloog;soovima;ehtima
vili;elanik;lõhnama;lõpetama;kaks;kustuv;pidu;kiir;tüdruk
vanaisakoda;andma;valgus;süütama;otsus;loodustama;lind;sügavasti;igavene
kustuv;valgusandja;aasta;laisk;antud;pojuke;igavene;lühim;kogunenud
hiljemini;rauk;valmima;peitma;ulatama;panema;aasta;jõerand;põhjamaa
sõstrakarvas;vanaisa;päike;sügavasti;noor;taevavõlv;faehlmann;lõhnama;uus
noorus;hommik;laul;valgusandja;nimi;sedamaid;viibiv;õnnistama;lill
täitmine;puhkus;ruum;eeldama;vastama;koit;loojuv;ööbik;rõõmuaeg
vana-isa;mõrs;kuulma;rahvasuu;valgus;ööbik;öö;igavesti;kaks
särama;rikkuma;jõerand;täitma;liikuma;vili;muistent;nihkuma;jälle
laul;loodus;kutsuma;põlema;amet;hämarik;ehtima;kaunim;inimene
ida;tüdruk;valmistama;süütma;ütlema;kiir;pojuke;kaua;täitmine
rind;ilmarine;äratama;põhjamaa;armastus;süütama;kohus;täis;valmistama
naljatama;võtma;sündima;loodustama;ametikohune;rauk;kustuv;valgusandja;kuma
hüüdma;kord;palav;vastastikku;aeg;öö;kutsuma;loodustama;pidu
vaikne;amet;puhkama;vanaisa;eeldama;nimi;kiir;sündima;elu
pojuke;suu;öö;päev;armsam;armuloog;kuulutama;pidu;rahul
ruum;sedamaid;õhtu;hämarik;kokkusaamine;sünd;nimi;valguseandja;pikk
rõõmuaeg;leidma;kuulutama;äike;mees;õnnistama;loodustama;kuulma;nimi
suu;kiir;süütama;liikuma;palav;rind;vili;süütama;elanik
kaunim;lind;lõpetama;liiaganem;ööbik;antud;süütama;rõõmuaeg;
armastus;inimene;särama;märkama;teener;võlv;laisk;õitsema;rõõm
kannatus;karm;sünd;puutuma;panema;ulatama;kuuluma;inimene;hüüdma
lastelane;usaldama;friedrich;teener;taevaserv;süütma;nihkuma;õhtu;koit
taevaserv;muistent;esimene;loodus;silm;lind;naljatama;päev;tõusev
nädal;taevas;rõõmuaeg;õnnelik;laisk;huul;karm;täitma;käik
huul;punane;silm;taevaserv;saabuma;võtma;põhjamaa;taevavõlv;põlema
