EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM_multi;MiniLM-L12_multi;multi_e5;xml_roberta
mõisaomanik Concordia;panema diplom;kuulama Café;elukogemus näitama;tool istuma;päev võtma;aeg eestimaa;mõisaproua Ruth-Kaja;ütlema haridus
rusuhunnik 50;elukoht Tallinn;tänane külaline;Ruth-Kaja Pekk;suutma kodu;aeg eestimaa;kuidasmoodi päev;mõis omandivorm;ehitama suur
asi natukene;töö 70;Eesti kultuuripärand;Ülikool lõpetanud;noorem vend;mõisaomanik lähemalt;Norra kolimine;Eestimaa sõitma;võib-olla töötama
saade 12;täna jääma;bankett vastuvõtt;12 jälle;punkt julgelt;kohtuma kohalik;kell kaheksa;külastama nojah;nimelt mõis
hiljem kõrgem;kaudne mõte;sööma võib-olla;kell 20;vabariik action;inimene viimane;kohtuma kohalik;Pirgu mõis;eriala puutuma
10 tõepoolest;ellusuhtumine kindlasti;ostma Norra;eile tunduma;esitama asi;unistus teadma;aeg müüma;müüma tähendama;väga-väga tänulik
meelerahu tervis;pärijanna mängima;tahtma kommenteerima;aeg peremees;kursus idee;kahekesi kahekümnekes;ostma küla;raadiokuulaja persooniintervju;majandamine nii-öelda
kursuslane pannkoogilõhn;sisekujundus ostma;kell kaheksa;50 sattuma;vastama vastama;tunne kodu;ajal probleem;Mart viimane;12 kuulama
maol asi;psühholoog inimene;ootama niitväli;Ameerika Ühendriik;hea vorm;kuulma põhjus;leet nädalalõpp;küsima küsima;olukord algus
päev päev;arstiharidus proua;juhtuma telefonikõne;Valgevene Neste;kodu kant;Eliste roll;ootama niitväli;muutuma rusuhunnik;töötama 10
hästi soe;vabariik action;lihtsalt viie-kuus;asi teoksil;sobiv hulk;unetu öi;unetu öi;ootama kaua;sobiv hulk
arenduskeskus naljatama;ilmselt natuke;üürimine süsteem;Tartu ülikool;inimene kurjus;õde Tallinn;uus koht;Proua väige;27 jaanuar
vaenulikkus kadedus;Amad arhitektuuriline;kursus eriti;arenduskeskus varem;osa omama;arvama pöörane;kolimine aasta;igalüht 10;võtma koer
pidu ööbimine;ööbimine võimalus;vajalik ettevõte;neli laps;kontroll juhtuma;mõis Ruth-Kaja;27 jaanuar;plaan ütlema;töö käima
eduv stuudio;kultuuripärand kolu;hästi küsimus;kaheksa minut;korrigeerima eksisteerima;otsima kell;mängima küllalt;võtma koer;kohtuma kohalik
omakandi rahvas;sõitma abikaasa;näiteks kuuseriisikas;lõpp punane;võimalik võimalik;tänan kuulama;ostma Eestimaa;Kilumets vestluskaaslane;kadedus hästi
Ruhnu kool;üritus võtma;eetiline oskama;äärmiselt äärmiselt;amet kindlasti;aus ütlema;ütlema välistama;kindlalt istuma;meel töö
kultuur osa;sattuma erakätesse;lõpetaja avama;armetus olukord;programm esimene;aeg müüma;rahvas tähendama;Beck tulevikunägemus;tähendama hoone
