EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,4,3,1,3,3,3,5,2,12,klaas; braseodüüm; neodüüm; mendelejevi; muldmetall; lantanoid
6,4,3,1,3,3,3,5,2,12,klaas; braseodüüm; neodüüm; mendelejevi; muldmetall; lantanoid
6,4,3,1,3,3,3,5,2,12,klaas; braseodüüm; neodüüm; mendelejevi; muldmetall; lantanoid
6,4,3,1,3,3,3,5,2,12,klaas; braseodüüm; neodüüm; mendelejevi; muldmetall; lantanoid
6,4,3,1,3,3,3,5,2,12,klaas; braseodüüm; neodüüm; mendelejevi; muldmetall; lantanoid
6,4,3,1,3,3,3,5,2,12,klaas; braseodüüm; neodüüm; mendelejevi; muldmetall; lantanoid
6,4,3,1,3,3,3,5,2,12,klaas; braseodüüm; neodüüm; mendelejevi; muldmetall; lantanoid
6,4,3,1,3,3,3,5,2,12,klaas; braseodüüm; neodüüm; mendelejevi; muldmetall; lantanoid
6,4,3,1,3,3,3,5,2,12,klaas; braseodüüm; neodüüm; mendelejevi; muldmetall; lantanoid
6,4,3,1,3,3,3,5,2,12,klaas; braseodüüm; neodüüm; mendelejevi; muldmetall; lantanoid
6,4,3,1,3,3,3,5,2,12,klaas; braseodüüm; neodüüm; mendelejevi; muldmetall; lantanoid
