EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM_multi;MiniLM-L12_multi;multi_e5;xml_roberta
siin-seal Ice Cream;bändidest räägitakse Et;mõttes nelja kuju;Litrit kuulata vikerraadio;neli ilusam number;Kuues Teet Kallas;kuus meest Kaks;Ja Urmas Vadi;kolm neli Ühesõnaga
räägin esimesed laused;Siis hüüatusi nohos;Krull luulekogu neli;Ei suuda tõestada;teksti genereerima tekst;Urmas Vadi Head;Kuues Teet Kallas;Kõigepealt neli Laulasmaavanemat;väga-väga teistmoodi Mõned
hiljuti avati Eesti;kuskilt kultuurikihtidest esivanematelt;arv Eriti Põhja-Ameerikas;kirjutad luuletused kirjutatud;ilusam number natukene;kuus kolmandat 26;Krullil neli korda;64 tähendab neli;võib-olla kirjandusest eemale
tekkis selge visioon;lase sattunud Ja;Miks musta pori;paigutatud paljasse fašistide;arv vaata number;küsisin neli ütles;maagilisemad esimesed numbrid;kuulata vikerraadio koduleheküljelt;Ja kirjutamine väga-väga
väega seotud numbreid;raamatus tegelikult tähtis;põhimõtteliselt proosateoste üldiselt;koapoyaranss komandosid kõrvuti;võib-olla algidu algobjekt;imagost huvilisega Dima;flogi Maagiline arv;16 sõjaliselt luuletus;Ei mäletagi hästi
Päevikus kaebab inimene;taandamine teraapiaks Ende;mees Baruto näiteks;neli ütlesid alguses;number Aga vorm;rahvas tööpäeva Kolmas;fraasi korjatakse varieeritakse;Ludwig mängib kahest;kesid tahab lugeda
tikutakse surma olemised;väravas Esimesest astusid;reflekteerida tegevust tegevust;eriti ela Tallinnas;number neli Ja;Naine Viivika Ludwig;kirjutama voodikusega 100;1991 rääkisime niikuinii;järk-järgult moodi ütleme
Itaaliasse Bertinoro lossi;uusi tulbisort Te;vormis Simonde Bobuaarilt;ilmunud luulekogu neli;näiteks tähendab alus;Pole jõuga Keila;Istusime toas ahjusoojas;systerassil Peeter intervjuud;öeldakse tohi kasutada
tihtipeale tekitavad teatud;reaalse sfääriga intellektuaalse;Õhtul lugesin siit-sealt;Et mõttes kirjutab;ütleme traktor vaatlik;Ma lugu liinid;neli liblikat tiibades;väga-väga teistmoodi Mõned;naise helge aastase
jõuga Keila vald;loe teod bändimeest;numbriga Seal kaane;varem Eestis kohanudki;vaatame vaatame räägitakse;ütlen Sure rahnice;meest naine Naine;rääkisid raamatutest Jaan;Viimase võib-olla 15
