EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,4,3,3,2,4,3,3,5,12,tervisehäda; uskumus; kaitsemaagia; reet; häire; sümptom; üleloomulik; ehmatamine; meditsiin
6,4,3,3,2,4,3,3,5,12,tervisehäda; uskumus; kaitsemaagia; reet; häire; sümptom; üleloomulik; ehmatamine; meditsiin
6,4,3,3,2,4,3,3,6,12,tervisehäda; uskumus; kaitsemaagia; reet; häire; sümptom; üleloomulik; ehmatamine; meditsiin
6,4,3,3,2,4,3,3,6,12,tervisehäda; uskumus; kaitsemaagia; reet; häire; sümptom; üleloomulik; ehmatamine; meditsiin
6,4,3,3,2,4,3,3,6,12,tervisehäda; uskumus; kaitsemaagia; reet; häire; sümptom; üleloomulik; ehmatamine; meditsiin
5,4,3,3,2,4,3,3,6,12,tervisehäda; uskumus; kaitsemaagia; reet; häire; sümptom; üleloomulik; ehmatamine; meditsiin
6,4,2,3,2,4,3,5,6,12,tervisehäda; uskumus; kaitsemaagia; reet; häire; sümptom; üleloomulik; ehmatamine; meditsiin
5,6,5,5,2,5,5,5,6,12,tervisehäda; uskumus; kaitsemaagia; reet; häire; sümptom; üleloomulik; ehmatamine; meditsiin
5,5,5,7,1,6,4,5,6,12,tervisehäda; uskumus; kaitsemaagia; reet; häire; sümptom; üleloomulik; ehmatamine; meditsiin
5,7,2,5,2,5,3,5,6,12,tervisehäda; uskumus; kaitsemaagia; reet; häire; sümptom; üleloomulik; ehmatamine; meditsiin
4,7,1,5,3,6,6,6,7,12,tervisehäda; uskumus; kaitsemaagia; reet; häire; sümptom; üleloomulik; ehmatamine; meditsiin
