EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,6,6,7,6,6,6,9,7,13,nurk; raamat; vangla; salaja; ämber; martin; sidepidamine; kommunistlik; kiri
6,6,6,7,5,6,6,8,7,13,nurk; raamat; vangla; salaja; ämber; martin; sidepidamine; kommunistlik; kiri
6,6,6,7,5,6,6,8,7,13,nurk; raamat; vangla; salaja; ämber; martin; sidepidamine; kommunistlik; kiri
6,6,6,7,5,6,6,8,7,13,nurk; raamat; vangla; salaja; ämber; martin; sidepidamine; kommunistlik; kiri
6,6,6,7,5,6,6,9,7,13,nurk; raamat; vangla; salaja; ämber; martin; sidepidamine; kommunistlik; kiri
6,6,6,7,5,6,6,8,7,13,nurk; raamat; vangla; salaja; ämber; martin; sidepidamine; kommunistlik; kiri
6,6,6,7,5,6,6,8,7,13,nurk; raamat; vangla; salaja; ämber; martin; sidepidamine; kommunistlik; kiri
6,6,6,7,5,6,6,8,7,13,nurk; raamat; vangla; salaja; ämber; martin; sidepidamine; kommunistlik; kiri
6,6,6,7,6,6,6,9,7,13,nurk; raamat; vangla; salaja; ämber; martin; sidepidamine; kommunistlik; kiri
6,6,6,7,6,6,6,9,7,13,nurk; raamat; vangla; salaja; ämber; martin; sidepidamine; kommunistlik; kiri
6,6,6,7,5,6,6,8,7,13,nurk; raamat; vangla; salaja; ämber; martin; sidepidamine; kommunistlik; kiri
