EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM_multi;MiniLM-L12_multi;multi_e5;xml_roberta
;Antoinette;Pariisis;sibulakujulisi;;Pariisis;Pariisis;Pariis;Venemaaga
Flarentiino;kroonivatkulised;Pariisi;ehitusmeistrid;fun;Pariisi;Pariisi;Pariisis;nime
siseõuede;Hiinammusseam;paviljone;mustvalge;loss;Pariis;Pariis;Prantsusmaale;tänapäeval
fondambles;ehitati;tornidega;saatorid;protokoll;Prantsusmaal;Suur-helepalee;Prantsusmaal;Läänemaale
Viiverebosimane;õiglus;tuhandeid;ehitusstiilidega;losside;Prantsusmaale;Euroopas;Pariisi;riiki
Phantom;apartementidega;tornid;kaunisse;fundhamble;linnas;Prantsusmaal;Prantsusmaa;kaunis
fundhamblös;19;kirikutornid;Neljateistkümnenda;ornament;Prantsusmaa;Prantsusmaale;Suur-helepalee;Ühesõnaga
Marie-Therese;Gibscrofist;hooneid;fantaasiaküllased;lossist;Louvre;linnake;kuningaruumidele;siinsetes
Bean'i;viibis;fantastiliselt;Kolmainsuse;eff;linna;linnas;fantaasiaküllased;ajal
šanssellisvee;kroonlühtrid;imepäraseid;meeldis;sünd;linnake;Euroopat;Itaaliast;reisiks
