EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,2,3,1,3,3,3,4,0,10,stuudio; direktor; toimetus; režissöör; televisioon; saade; koosolek
3,2,3,1,3,3,3,4,0,10,stuudio; direktor; toimetus; režissöör; televisioon; saade; koosolek
3,2,3,1,3,3,3,4,0,10,stuudio; direktor; toimetus; režissöör; televisioon; saade; koosolek
3,2,3,1,3,3,3,4,0,10,stuudio; direktor; toimetus; režissöör; televisioon; saade; koosolek
3,2,7,1,3,3,3,4,0,10,stuudio; direktor; toimetus; režissöör; televisioon; saade; koosolek
3,2,5,1,3,4,3,4,0,10,stuudio; direktor; toimetus; režissöör; televisioon; saade; koosolek
4,1,3,2,3,5,4,5,0,10,stuudio; direktor; toimetus; režissöör; televisioon; saade; koosolek
4,3,2,1,3,3,5,5,0,10,stuudio; direktor; toimetus; režissöör; televisioon; saade; koosolek
3,2,3,2,1,4,4,4,0,10,stuudio; direktor; toimetus; režissöör; televisioon; saade; koosolek
2,0,4,1,2,4,4,5,0,10,stuudio; direktor; toimetus; režissöör; televisioon; saade; koosolek
2,0,4,2,3,4,4,5,0,10,stuudio; direktor; toimetus; režissöör; televisioon; saade; koosolek
