EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM_multi;MiniLM-L12_multi;multi_e5;xml_roberta
vändra mõis mölder;jakobson stiil küllalt;tavaline talupoeg natuke;kõrgerg kirjutama eestikeelne;number niht sattuma;jälle mõtlema jansen;asi jannsen rääkima;rahvapäraselt jansen kirjutama;vastutasu mõisnik saksa-vastane
eesti rahvuslik ärkamine;eriti kõrts visu;johnson rahvapäraselt kirjutama;seitsmekümnes aasta kujunema;otsekohe dokument andma;jansen rappa isalik;jannsen eelis suur;laul janssen õpetama;vesk kõrts kuulma
karl kõrb kõrber;asjaolu aade hästi;võib-olla jõukam olu;teene kultuuriruum üldse;venevastane number niht;aeg rõhutama jansson;aeg rõhutama jansson;õige jansson töö;võib-olla väike haridus
jõukam olu aeg;eriti aeg vaevama;järgnevalt oluline töötama;selleaegne jansen arvustaja;maksma summa suurem;selleaegne jansen arvustaja;selleaegne jansen arvustaja;kirjuti janson poode;esiteks liivimaa lõuna-eesti
rahvavalgustaja karl kõrgerg;ajaleht käik selguma;küllaltki võib-olla laulupidu;kultuurrahvas kujunema nüüdki;andma nüts toetus;jansen omane lapsepõlv;loobuma jannsen suur;mõtlema jansen eesti;mõisnik saksa-vastane suund
teene kultuuriruum üldse;rahvas elu tõenäoline;lihtne kõne kirjutamine;tingimata euroopalik jällegi;leidma otsekohe dokument;mõtlema jansen eesti;ütlema jansson osa;jansen kord lugemine;eesti keel eesti
organiseerimine juhtimine võimeline;kõrtsimees pere kasvastiv;külamees jutleja vestlus;küsimus 1870 levima;andma leht ;tunne jannsen eelis;talupoeg natuke võib-olla;jansen omane lapsepõlv;alane telelevi lõuna-eesti
jansen suurus rahvalikkus;pärastine kultuurimaja niiet;tegutsema rääkima talumajandus;1857 pärnu postimees;muutuma tugev iseseisev;lööma jansen teenima;mõistma tunne jannsen;kirjutama eestikeelne vaimulik;lõuna-eesti füüsika eestimaa
parem jutumees ütlemine;levima aeg tekkima;abipastor hiljem pastor;andma perioodiline jutukogu;iseseisev tahtma alluma;jansen sona salvuma;üldse jansen teene;jansen eesti koorilaul;põllumees selts võistleja
vesk kõrts kuulma;inimene organiseerimine juhtimine;küsimus eriti aeg;tegelikult põllumees selts;panema komme alus;talupoeg natuke võib-olla;jälle mõtlema jansen;küsimus leidma jansen;mõisnik esindav rüütel
