EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,0,1,0,1,0,1,2,0,11,jõhkard; signe; daniel; ants
2,0,1,0,1,0,1,2,0,11,jõhkard; signe; daniel; ants
2,0,1,0,1,0,1,2,0,11,jõhkard; signe; daniel; ants
2,0,1,0,1,0,1,2,0,11,jõhkard; signe; daniel; ants
2,0,1,0,1,0,1,2,0,11,jõhkard; signe; daniel; ants
2,0,1,0,1,0,1,1,0,11,signe; daniel; ants; jõhkard
1,0,1,0,1,0,0,1,0,11,signe; daniel
1,0,1,0,1,0,0,2,0,11,signe; daniel; ants
1,0,2,0,1,1,0,2,0,11,ants; signe; daniel
2,0,2,1,1,1,0,1,0,11,palat; ants; signe; daniel
3,0,2,1,1,2,0,1,0,11,palat; signe; daniel; ants
