EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,0,1,2,0,3,2,1,0,10,ladina-ameerika; muusika; kuuba; gloria
1,0,1,2,0,3,2,1,0,10,ladina-ameerika; muusika; kuuba; gloria
1,0,1,2,0,3,2,1,0,10,ladina-ameerika; muusika; kuuba; gloria
1,0,1,2,0,3,2,1,0,10,ladina-ameerika; muusika; kuuba; gloria
1,0,1,2,0,3,2,1,0,10,ladina-ameerika; muusika; kuuba; gloria
1,0,2,2,0,3,2,1,0,10,ladina-ameerika; muusika; kuuba; gloria
1,0,1,2,0,2,2,2,0,10,ladina-ameerika; superstaar; muusika; kuuba; gloria
1,0,1,2,0,2,2,2,0,10,ladina-ameerika; superstaar; muusika; kuuba; gloria
2,0,1,2,0,3,2,1,0,10,ladina-ameerika; muusika; kuuba; gloria
2,0,1,2,0,2,1,4,0,10,ladina-ameerika; superstaar; muusika; kuuba; gloria
2,1,1,2,0,2,2,3,0,10,ladina-ameerika; superstaar; muusika; kuuba; gloria
