EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM_multi;MiniLM-L12_multi;multi_e5;xml_roberta
farvaaramässicov nägema;mängima film;film näitlejanna;vahetult seitsmeteistkümnes;kinnitama number;miasnikova film;film näitlejanna;stalin lemmikfilm;27 aasta
eeerrholdon õpetama;tundma friedrich;juhtuma ühesõnaga;aasta 34;nimetama näiteks;vene naine;varvaaramiasnikov film;nimelt stalinud;kunstiakadeemia küllaltki
lisa repressioon;vaja tooma;väike rollike;sündmus 41;persoon persoon;lugema naisrežissöör;kangelane neli;täna näitlejanna;tõstma lenk
-te algus;film pälvima;rahvusvaheline festival;andma hiljem;konkreetselt reaalselt;vadja nitskaja;kodanik film;naisterahvas loomulikult;kirjeldama hästi
lavastaja režissöör;küsima seltsimees;lemmikfilm andmed;stalin preemia;nomeng nisu;elu venedžapaev;kuulsus olulisem;naisrežissöör film;ütlema sünniaasta
kümme kord;aasta vahetult;1941 mägi;lenk vaatama;ilus roll;inspireerima filmitegija;kingse film;soovima peterburi;nõukogu liit
anka petka;juhtima moskva;toimunud kodusõjakangelane;film arusaadav;aeg alternatiiv;lemmikfilm andmed;endine tsaar;vikerraadio kuulaja;-te lõpp
pealkiri sariidsen;tähendus tipp;vikerraadio kuulaja;näiteks kummilioff;andma kindlasti;näitlejanna nimi;segane film;inimene jason;lapsepõlv mäletama
sõbralik selts;hiljem esimene;kandma pealkiri;koduma film;andma põlem;film pealkiri;34 film;jällegi kirjandusklassika;tegemine oluline
levinum seisukoht;saabuma jaapanlane;sünniaasta 1900;edasine karjäär;andma käsk;lugu mummu;režissöör dynaine;demonstreerima väejuhivõime;rääkima 49
lugu mummu;1927 -st;võib-olla tõepärasem;aeg alternatiiv;unustama nomeng;naisterahvas loomulikult;tipp propagandafilm;romaan chapajev;aeg alternatiiv
selge mõte;puudutama film;number õpilane;chapaev 30;kitchen paev;sündmus lugu;nimelt autor;rahvakomissar luladžarsk;prototüüp tegelikult
rääkima pikemalt;laps film;1928 28;rääkima ilmuma;valvema nisugune;võitlusstend poola;chapajev esimene;väidetavalt film;mäletama aeg
film algmaterjal;institutsioon partei;rääkima 49;variant ilusti;kindel son;maria papov;draamateater küllaltki;maa 1934;suhteliselt suur
aasta lõpetus;kool asutamisaasta;järeltulija raske;antonio spada;andmed kord;film erinev;film natukene;töökangelane valdavalt;nõukogu tähendus
